steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      44.00     0.690238       6.34103e-05      2.00 / 2.00 / 0.00 / 2.00     
2000      51.30     0.693326       8.53197e-05      1.00 / 2.02 / 0.14 / 3.00     
3000      50.40     0.693396       0.000161747      1.00 / 1.95 / 0.36 / 3.00     
4000      50.70     0.69325        0.000103107      1.00 / 2.00 / 0.25 / 3.00     
5000      47.50     0.692297       0.000195866      1.00 / 1.89 / 0.33 / 3.00     
6000      47.00     0.69087        0.000164418      1.00 / 1.94 / 0.24 / 3.00     
7000      49.80     0.69105        0.000157736      1.00 / 1.94 / 0.24 / 2.00     
8000      48.20     0.692306       0.000140995      1.00 / 1.95 / 0.23 / 2.00     
9000      47.60     0.692946       0.000172713      1.00 / 1.91 / 0.28 / 2.00     
10000     49.60     0.692333       0.000158445      1.00 / 1.95 / 0.23 / 3.00     
11000     47.30     0.691539       0.000217331      1.00 / 1.91 / 0.29 / 2.00     
12000     47.40     0.692457       0.000219135      1.00 / 1.94 / 0.25 / 2.00     
13000     47.50     0.690871       0.00024011       1.00 / 1.98 / 0.16 / 2.00     
14000     46.50     0.690167       0.000414703      1.00 / 2.02 / 0.20 / 3.00     
15000     43.60     0.687431       0.000466286      1.00 / 2.06 / 0.32 / 4.00     
16000     47.90     0.691846       0.000510486      1.00 / 2.33 / 0.49 / 3.00     
17000     46.80     0.689181       0.000517065      1.00 / 2.25 / 0.44 / 3.00     
18000     44.40     0.681498       0.000496822      1.00 / 2.65 / 0.88 / 6.00     
19000     43.80     0.680634       0.000373354      1.00 / 2.97 / 1.34 / 9.00     
20000     47.50     0.686214       0.000385678      1.00 / 3.10 / 1.50 / 8.00     
21000     46.00     0.679388       0.000385777      1.00 / 2.96 / 1.46 / 9.00     
22000     46.10     0.677019       0.000377392      1.00 / 3.25 / 1.77 / 10.00    
23000     46.50     0.680256       0.000386959      1.00 / 2.94 / 1.37 / 9.00     
24000     46.80     0.676344       0.000393167      1.00 / 3.08 / 1.52 / 9.00     
25000     46.00     0.679664       0.00039288       1.00 / 3.28 / 1.90 / 10.00    
26000     46.60     0.681249       0.000402277      1.00 / 3.11 / 1.54 / 10.00    
27000     48.70     0.681829       0.00037139       1.00 / 3.62 / 2.15 / 10.00    
28000     47.70     0.683685       0.00040494       1.00 / 3.42 / 1.90 / 10.00    
29000     44.70     0.674484       0.000386918      1.00 / 3.65 / 2.13 / 10.00    
30000     45.50     0.671167       0.000397418      1.00 / 3.44 / 1.89 / 10.00    
31000     46.20     0.668904       0.000402952      1.00 / 3.63 / 2.10 / 10.00    
32000     44.90     0.658009       0.000419623      1.00 / 3.75 / 2.24 / 10.00    
33000     44.30     0.660297       0.000411555      1.00 / 3.82 / 2.39 / 10.00    
34000     45.80     0.659495       0.000419117      1.00 / 3.86 / 2.40 / 10.00    
35000     43.80     0.654108       0.000412645      1.00 / 4.03 / 2.45 / 10.00    
