steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      71.90     0.656929       0.29473          1.00 / 1.03 / 0.17 / 2.00     
2000      68.40     0.644364       0.299552         1.00 / 1.01 / 0.12 / 2.00     
3000      66.90     0.628261       0.301328         1.00 / 1.01 / 0.09 / 2.00     
4000      65.40     0.611232       0.30093          1.00 / 1.01 / 0.09 / 2.00     
5000      62.30     0.602459       0.302316         1.00 / 1.00 / 0.07 / 2.00     
6000      60.30     0.587941       0.299643         1.00 / 1.01 / 0.11 / 2.00     
7000      59.70     0.57492        0.303304         1.00 / 1.00 / 0.03 / 2.00     
8000      59.50     0.559409       0.303402         1.00 / 1.00 / 0.03 / 2.00     
9000      59.00     0.545614       0.303403         1.00 / 1.00 / 0.03 / 2.00     
10000     57.30     0.529506       0.303402         1.00 / 1.00 / 0.03 / 2.00     
11000     55.70     0.518358       0.303501         1.00 / 1.00 / 0.02 / 2.00     
12000     54.70     0.509511       0.303501         1.00 / 1.00 / 0.02 / 2.00     
13000     53.10     0.490835       0.3036           1.00 / 1.00 / 0.00 / 1.00     
14000     53.10     0.481171       0.3036           1.00 / 1.00 / 0.00 / 1.00     
15000     50.70     0.464123       0.3036           1.00 / 1.00 / 0.00 / 1.00     
16000     50.80     0.458003       0.3036           1.00 / 1.00 / 0.00 / 1.00     
17000     48.70     0.444181       0.3036           1.00 / 1.00 / 0.00 / 1.00     
18000     47.60     0.439083       0.3036           1.00 / 1.00 / 0.00 / 1.00     
19000     46.80     0.429091       0.3036           1.00 / 1.00 / 0.00 / 1.00     
20000     46.10     0.42103        0.3036           1.00 / 1.00 / 0.00 / 1.00     
21000     46.00     0.414113       0.3036           1.00 / 1.00 / 0.00 / 1.00     
22000     44.10     0.405381       0.3036           1.00 / 1.00 / 0.00 / 1.00     
23000     43.80     0.398155       0.3036           1.00 / 1.00 / 0.00 / 1.00     
24000     41.90     0.39286        0.3036           1.00 / 1.00 / 0.00 / 1.00     
25000     43.80     0.392013       0.3036           1.00 / 1.00 / 0.00 / 1.00     
26000     42.60     0.38082        0.3036           1.00 / 1.00 / 0.00 / 1.00     
27000     41.90     0.375039       0.3036           1.00 / 1.00 / 0.00 / 1.00     
28000     41.20     0.368053       0.3036           1.00 / 1.00 / 0.00 / 1.00     
29000     39.70     0.361363       0.3036           1.00 / 1.00 / 0.00 / 1.00     
30000     39.90     0.360565       0.3036           1.00 / 1.00 / 0.00 / 1.00     
31000     39.00     0.359543       0.3036           1.00 / 1.00 / 0.00 / 1.00     
32000     38.20     0.352979       0.3036           1.00 / 1.00 / 0.00 / 1.00     
33000     36.50     0.348739       0.3036           1.00 / 1.00 / 0.00 / 1.00     
34000     37.20     0.346942       0.3036           1.00 / 1.00 / 0.00 / 1.00     
35000     36.80     0.343341       0.3036           1.00 / 1.00 / 0.00 / 1.00     
36000     35.50     0.33934        0.3036           1.00 / 1.00 / 0.00 / 1.00     
37000     36.00     0.335994       0.3036           1.00 / 1.00 / 0.00 / 1.00     
38000     35.50     0.334423       0.3036           1.00 / 1.00 / 0.00 / 1.00     
39000     35.70     0.332461       0.3036           1.00 / 1.00 / 0.00 / 1.00     
40000     35.50     0.331168       0.3036           1.00 / 1.00 / 0.00 / 1.00     
41000     36.20     0.332394       0.3036           1.00 / 1.00 / 0.00 / 1.00     
42000     35.40     0.327243       0.3036           1.00 / 1.00 / 0.00 / 1.00     
43000     35.40     0.323277       0.3036           1.00 / 1.00 / 0.00 / 1.00     
44000     34.50     0.318728       0.3036           1.00 / 1.00 / 0.00 / 1.00     
45000     35.90     0.32025        0.3036           1.00 / 1.00 / 0.00 / 1.00     
46000     34.80     0.314124       0.3036           1.00 / 1.00 / 0.00 / 1.00     
47000     34.40     0.310976       0.3036           1.00 / 1.00 / 0.00 / 1.00     
48000     34.60     0.304589       0.3036           1.00 / 1.00 / 0.00 / 1.00     
49000     33.40     0.304455       0.3036           1.00 / 1.00 / 0.00 / 1.00     
50000     33.50     0.304837       0.3036           1.00 / 1.00 / 0.00 / 1.00     
51000     35.20     0.306695       0.3036           1.00 / 1.00 / 0.00 / 1.00     
