steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      50.20     0.693552       0.00737147       1.00 / 1.27 / 0.44 / 2.00     
2000      48.40     0.69242        0.00864663       1.00 / 1.14 / 0.34 / 2.00     
3000      49.00     0.692774       0.00792546       1.00 / 1.21 / 0.41 / 2.00     
4000      46.40     0.69058        0.00531921       1.00 / 1.48 / 0.51 / 3.00     
5000      45.10     0.691357       0.00875542       1.00 / 1.13 / 0.33 / 2.00     
6000      49.50     0.692524       0.00962482       1.00 / 1.04 / 0.19 / 2.00     
7000      47.30     0.69214        0.00911319       1.00 / 1.09 / 0.30 / 3.00     
8000      46.60     0.691325       0.0093087        1.00 / 1.07 / 0.28 / 3.00     
9000      44.80     0.690905       0.00885514       1.00 / 1.15 / 0.48 / 4.00     
10000     44.10     0.690673       0.00943735       1.00 / 1.06 / 0.23 / 2.00     
11000     45.80     0.690685       0.00940758       1.00 / 1.06 / 0.24 / 2.00     
12000     46.30     0.691048       0.0093111        1.00 / 1.07 / 0.26 / 2.00     
13000     44.80     0.690162       0.00982287       1.00 / 1.02 / 0.13 / 2.00     
14000     47.40     0.692523       0.00929952       1.00 / 1.07 / 0.29 / 4.00     
15000     45.80     0.690025       0.00969522       1.00 / 1.03 / 0.20 / 4.00     
16000     44.50     0.690075       0.00980267       1.00 / 1.02 / 0.19 / 4.00     
17000     46.80     0.692403       0.00914094       1.00 / 1.22 / 0.74 / 4.00     
18000     45.80     0.691221       0.00980322       1.00 / 1.03 / 0.22 / 4.00     
19000     44.40     0.690926       0.00868028       1.00 / 1.20 / 0.55 / 4.00     
20000     45.00     0.690865       0.00944125       1.00 / 1.07 / 0.34 / 4.00     
21000     45.10     0.688839       0.00994079       1.00 / 1.01 / 0.08 / 2.00     
22000     45.90     0.690526       0.00954879       1.00 / 1.05 / 0.26 / 4.00     
23000     45.50     0.690193       0.00978393       1.00 / 1.03 / 0.24 / 4.00     
24000     44.90     0.688503       0.0095084        1.00 / 1.06 / 0.31 / 4.00     
25000     45.20     0.68989        0.00875467       1.00 / 1.14 / 0.37 / 4.00     
26000     46.00     0.691366       0.00983275       1.00 / 1.02 / 0.13 / 2.00     
27000     45.70     0.689589       0.00882361       1.00 / 1.12 / 0.34 / 4.00     
28000     45.80     0.689803       0.00938028       1.00 / 1.07 / 0.30 / 4.00     
29000     45.60     0.688818       0.00861792       1.00 / 1.15 / 0.35 / 2.00     
30000     47.10     0.690953       0.00941234       1.00 / 1.06 / 0.24 / 2.00     
31000     44.90     0.68861        0.0089184        1.00 / 1.11 / 0.31 / 2.00     
32000     46.80     0.690045       0.00650291       1.00 / 1.38 / 0.48 / 2.00     
33000     46.00     0.691486       0.00654442       1.00 / 1.39 / 0.49 / 2.00     
34000     43.50     0.68639        0.00740471       1.00 / 1.27 / 0.44 / 2.00     
35000     46.10     0.689064       0.00724009       1.00 / 1.29 / 0.45 / 2.00     
36000     47.00     0.687645       0.00795022       1.00 / 1.21 / 0.41 / 2.00     
37000     47.20     0.688267       0.00711985       1.00 / 1.31 / 0.46 / 2.00     
38000     46.20     0.688335       0.0071545        1.00 / 1.30 / 0.46 / 2.00     
