steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      44.90     0.690424       1.80926e-05      2.00 / 2.00 / 0.00 / 2.00     
2000      50.60     0.692411       2.95643e-05      2.00 / 2.00 / 0.00 / 2.00     
3000      47.00     0.69145        3.47622e-05      2.00 / 2.18 / 0.38 / 3.00     
4000      47.20     0.69293        4.08205e-05      2.00 / 2.33 / 0.48 / 4.00     
5000      44.90     0.686642       4.6908e-05       2.00 / 2.31 / 0.46 / 3.00     
6000      45.00     0.680464       4.3956e-05       1.00 / 2.75 / 1.13 / 10.00    
7000      45.00     0.675759       5.15327e-05      1.00 / 2.58 / 0.85 / 6.00     
8000      45.60     0.675997       5.75419e-05      1.00 / 2.43 / 0.62 / 5.00     
9000      45.60     0.673018       5.36283e-05      1.00 / 2.52 / 0.91 / 6.00     
10000     43.10     0.67102        6.31009e-05      1.00 / 2.40 / 0.73 / 6.00     
11000     42.50     0.663745       6.54537e-05      1.00 / 2.40 / 0.73 / 5.00     
12000     45.40     0.666854       6.70084e-05      1.00 / 2.45 / 0.90 / 6.00     
13000     45.50     0.663173       6.7818e-05       1.00 / 2.48 / 1.04 / 5.00     
14000     44.20     0.650955       6.52972e-05      1.00 / 2.98 / 1.99 / 10.00    
15000     45.30     0.64061        7.15838e-05      1.00 / 2.53 / 1.22 / 8.00     
16000     45.10     0.633115       7.23513e-05      1.00 / 2.63 / 1.37 / 8.00     
17000     43.10     0.612885       7.43126e-05      1.00 / 2.58 / 1.30 / 6.00     
18000     35.70     0.579754       7.55072e-05      1.00 / 2.54 / 1.17 / 6.00     
19000     36.90     0.561716       7.75158e-05      1.00 / 2.48 / 1.06 / 5.00     
20000     34.80     0.541456       7.58973e-05      1.00 / 2.51 / 1.09 / 5.00     
21000     34.20     0.509641       7.82511e-05      1.00 / 2.43 / 0.99 / 6.00     
22000     26.00     0.444559       8.24799e-05      1.00 / 2.37 / 0.87 / 3.00     
23000     23.20     0.376305       8.27985e-05      1.00 / 2.42 / 0.85 / 5.00     
24000     20.80     0.322476       8.36501e-05      1.00 / 2.42 / 0.85 / 3.00     
25000     19.00     0.296494       8.40704e-05      1.00 / 2.46 / 0.83 / 5.00     
26000     17.50     0.273152       8.51339e-05      1.00 / 2.46 / 0.82 / 4.00     
27000     16.60     0.265837       8.6555e-05       1.00 / 2.47 / 0.80 / 3.00     
28000     16.90     0.257428       8.82873e-05      1.00 / 2.49 / 0.79 / 3.00     
29000     15.80     0.244464       8.77337e-05      1.00 / 2.50 / 0.78 / 4.00     
30000     13.70     0.223748       8.7226e-05       1.00 / 2.52 / 0.75 / 4.00     
31000     12.00     0.211618       8.70478e-05      1.00 / 2.55 / 0.74 / 6.00     
32000     12.30     0.208423       8.70161e-05      1.00 / 2.56 / 0.73 / 6.00     
33000     13.80     0.204942       8.76718e-05      1.00 / 2.56 / 0.73 / 6.00     
34000     11.60     0.203553       8.87245e-05      1.00 / 2.58 / 0.70 / 6.00     
35000     11.90     0.195429       8.91052e-05      1.00 / 2.60 / 0.67 / 6.00     
36000     10.80     0.179014       9.04745e-05      1.00 / 2.60 / 0.67 / 6.00     
37000     9.70      0.17049        9.14651e-05      1.00 / 2.60 / 0.66 / 6.00     
38000     9.50      0.157492       9.1668e-05       1.00 / 2.60 / 0.64 / 3.00     
39000     8.00      0.14555        9.26342e-05      1.00 / 2.60 / 0.63 / 3.00     
