steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      70.80     0.653683       0.0257043        1.00 / 1.16 / 0.36 / 2.00     
2000      68.60     0.642411       0.0277374        1.00 / 1.09 / 0.28 / 2.00     
3000      64.90     0.621991       0.028941         1.00 / 1.05 / 0.21 / 2.00     
4000      64.20     0.602896       0.0291771        1.00 / 1.04 / 0.19 / 2.00     
5000      62.00     0.592417       0.0291466        1.00 / 1.04 / 0.20 / 2.00     
6000      60.40     0.57714        0.0293037        1.00 / 1.04 / 0.18 / 2.00     
7000      59.30     0.56327        0.0296692        1.00 / 1.02 / 0.15 / 2.00     
8000      58.70     0.546517       0.0296602        1.00 / 1.02 / 0.15 / 2.00     
9000      58.50     0.534028       0.0299357        1.00 / 1.01 / 0.12 / 2.00     
10000     56.10     0.519192       0.0294158        1.00 / 1.03 / 0.17 / 2.00     
11000     56.40     0.509836       0.0293191        1.00 / 1.03 / 0.18 / 2.00     
12000     54.50     0.503031       0.0265776        1.00 / 1.17 / 0.69 / 10.00    
13000     52.40     0.484237       0.0273732        1.00 / 1.15 / 0.58 / 8.00     
14000     53.20     0.477123       0.028099         1.00 / 1.11 / 0.43 / 5.00     
15000     50.70     0.459009       0.0271078        1.00 / 1.16 / 0.49 / 6.00     
16000     49.80     0.452022       0.0272612        1.00 / 1.14 / 0.43 / 4.00     
17000     48.00     0.441479       0.0276175        1.00 / 1.13 / 0.41 / 4.00     
18000     47.50     0.435446       0.0278307        1.00 / 1.13 / 0.46 / 7.00     
19000     47.40     0.428064       0.028262         1.00 / 1.11 / 0.41 / 5.00     
20000     46.00     0.421312       0.0282345        1.00 / 1.12 / 0.44 / 6.00     
21000     46.10     0.414731       0.028677         1.00 / 1.10 / 0.41 / 6.00     
22000     45.00     0.405636       0.0287458        1.00 / 1.09 / 0.36 / 5.00     
23000     43.20     0.399219       0.0280748        1.00 / 1.12 / 0.40 / 4.00     
24000     42.80     0.39404        0.0282189        1.00 / 1.11 / 0.38 / 4.00     
