steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      48.00     0.691308       0.00828029       1.00 / 1.17 / 0.38 / 2.00     
2000      49.20     0.691553       0.00739278       1.00 / 1.26 / 0.44 / 2.00     
3000      49.80     0.693231       0.00859752       1.00 / 1.14 / 0.35 / 2.00     
4000      47.10     0.692142       0.00826142       1.00 / 1.18 / 0.38 / 2.00     
5000      47.70     0.692341       0.00855002       1.00 / 1.15 / 0.35 / 2.00     
6000      48.90     0.691141       0.00887265       1.00 / 1.11 / 0.32 / 3.00     
7000      48.70     0.691217       0.00970353       1.00 / 1.03 / 0.17 / 2.00     
8000      49.00     0.693221       0.00852906       1.00 / 1.17 / 0.43 / 3.00     
9000      44.40     0.689863       0.00893425       1.00 / 1.13 / 0.39 / 3.00     
10000     49.70     0.693209       0.00976282       1.00 / 1.02 / 0.15 / 2.00     
11000     45.90     0.690798       0.00899248       1.00 / 1.10 / 0.30 / 2.00     
12000     45.70     0.691221       0.00991096       1.00 / 1.01 / 0.09 / 2.00     
13000     44.80     0.690897       0.00911366       1.00 / 1.12 / 0.43 / 4.00     
14000     44.90     0.690727       0.00947917       1.00 / 1.07 / 0.33 / 3.00     
15000     45.90     0.690137       0.00877843       1.00 / 1.13 / 0.37 / 3.00     
16000     45.20     0.69022        0.00997035       1.00 / 1.00 / 0.05 / 2.00     
17000     45.20     0.690751       0.0099308        1.00 / 1.01 / 0.08 / 2.00     
18000     45.40     0.690647       0.00931541       1.00 / 1.07 / 0.26 / 3.00     
19000     45.30     0.690428       0.0097152        1.00 / 1.03 / 0.17 / 2.00     
20000     45.20     0.689243       0.00976467       1.00 / 1.02 / 0.15 / 2.00     
21000     45.60     0.690256       0.00948272       1.00 / 1.05 / 0.22 / 2.00     
22000     45.30     0.689024       0.00938661       1.00 / 1.06 / 0.24 / 2.00     
23000     46.80     0.690002       0.00955156       1.00 / 1.05 / 0.22 / 3.00     
24000     43.90     0.688918       0.00925002       1.00 / 1.08 / 0.27 / 2.00     
25000     44.30     0.688084       0.00931429       1.00 / 1.07 / 0.26 / 2.00     
26000     45.00     0.688188       0.00924524       1.00 / 1.08 / 0.27 / 2.00     
27000     45.20     0.686534       0.00812935       1.00 / 1.20 / 0.40 / 2.00     
28000     46.20     0.688798       0.00904004       1.00 / 1.10 / 0.30 / 2.00     
29000     46.10     0.688727       0.00704085       1.00 / 1.31 / 0.47 / 3.00     
30000     44.30     0.686785       0.00820608       1.00 / 1.19 / 0.39 / 2.00     
31000     43.80     0.687901       0.00744163       1.00 / 1.27 / 0.44 / 2.00     
32000     45.20     0.687184       0.00735664       1.00 / 1.28 / 0.46 / 3.00     
33000     44.70     0.685428       0.00646256       1.00 / 1.38 / 0.48 / 2.00     
34000     45.60     0.685905       0.00639795       1.00 / 1.38 / 0.49 / 2.00     
35000     45.70     0.685748       0.00665655       1.00 / 1.36 / 0.48 / 2.00     
36000     45.30     0.68403        0.00630395       1.00 / 1.41 / 0.49 / 3.00     
37000     43.90     0.684738       0.00643977       1.00 / 1.38 / 0.49 / 2.00     
38000     44.80     0.68577        0.00621789       1.00 / 1.41 / 0.49 / 2.00     
39000     44.20     0.682617       0.00684801       1.00 / 1.34 / 0.47 / 2.00     
40000     42.40     0.681977       0.00681729       1.00 / 1.33 / 0.47 / 2.00     
41000     44.90     0.684529       0.00664828       1.00 / 1.36 / 0.48 / 2.00     
42000     46.90     0.686167       0.00723507       1.00 / 1.29 / 0.45 / 2.00     
43000     44.00     0.684671       0.00703949       1.00 / 1.31 / 0.46 / 2.00     
44000     44.50     0.683832       0.00718332       1.00 / 1.30 / 0.46 / 2.00     
45000     44.60     0.682434       0.00711075       1.00 / 1.30 / 0.46 / 2.00     
46000     44.60     0.68294        0.00699806       1.00 / 1.32 / 0.47 / 2.00     
47000     46.00     0.683165       0.0069536        1.00 / 1.32 / 0.47 / 2.00     
48000     44.40     0.681112       0.00714522       1.00 / 1.30 / 0.46 / 2.00     
49000     44.90     0.680567       0.00704808       1.00 / 1.31 / 0.46 / 2.00     
50000     43.80     0.680821       0.00697426       1.00 / 1.32 / 0.47 / 2.00     
51000     44.40     0.680921       0.00672297       1.00 / 1.35 / 0.48 / 2.00     
52000     43.80     0.681332       0.00696567       1.00 / 1.32 / 0.47 / 2.00     
53000     42.70     0.682054       0.0070342        1.00 / 1.32 / 0.47 / 2.00     
54000     44.90     0.681084       0.00732759       1.00 / 1.28 / 0.45 / 2.00     
55000     42.00     0.678914       0.00710317       1.00 / 1.31 / 0.46 / 2.00     
56000     45.10     0.683398       0.00662813       1.00 / 1.37 / 0.48 / 2.00     
57000     44.70     0.679638       0.00690834       1.00 / 1.33 / 0.47 / 2.00     
58000     43.80     0.681356       0.00653734       1.00 / 1.37 / 0.48 / 2.00     
59000     43.50     0.680917       0.00681789       1.00 / 1.34 / 0.47 / 2.00     
60000     45.00     0.679738       0.00668658       1.00 / 1.35 / 0.48 / 2.00     
61000     44.90     0.680596       0.00675153       1.00 / 1.35 / 0.48 / 2.00     
62000     44.10     0.6809         0.00670543       1.00 / 1.35 / 0.48 / 2.00     
63000     44.80     0.681228       0.00648969       1.00 / 1.38 / 0.48 / 2.00     
64000     44.40     0.680555       0.00666105       1.00 / 1.36 / 0.48 / 2.00     
65000     44.10     0.680989       0.00638452       1.00 / 1.39 / 0.49 / 2.00     
66000     44.10     0.679117       0.00673062       1.00 / 1.35 / 0.48 / 2.00     
67000     43.20     0.680423       0.00633139       1.00 / 1.39 / 0.49 / 2.00     
68000     44.50     0.67979        0.00635104       1.00 / 1.39 / 0.49 / 2.00     
69000     43.00     0.681684       0.00592477       1.00 / 1.44 / 0.50 / 2.00     
70000     44.50     0.680372       0.00601722       1.00 / 1.43 / 0.49 / 2.00     
71000     44.20     0.68172        0.00658934       1.00 / 1.36 / 0.48 / 2.00     
72000     44.70     0.682694       0.00549033       1.00 / 1.48 / 0.50 / 2.00     
73000     43.70     0.679958       0.00550016       1.00 / 1.48 / 0.50 / 2.00     
74000     44.50     0.679144       0.00587692       1.00 / 1.44 / 0.50 / 2.00     
75000     44.90     0.682048       0.00505156       1.00 / 1.52 / 0.50 / 2.00     
76000     43.90     0.679211       0.00479524       1.00 / 1.55 / 0.50 / 2.00     
77000     43.40     0.680077       0.00554509       1.00 / 1.47 / 0.50 / 2.00     
78000     42.90     0.679144       0.00551513       1.00 / 1.47 / 0.50 / 2.00     
79000     44.40     0.681697       0.00511261       1.00 / 1.52 / 0.50 / 2.00     
80000     43.30     0.679354       0.00538127       1.00 / 1.49 / 0.50 / 2.00     
81000     45.10     0.680667       0.00497518       1.00 / 1.53 / 0.50 / 2.00     
82000     43.70     0.681308       0.0049979        1.00 / 1.53 / 0.50 / 2.00     
83000     43.30     0.680043       0.00512957       1.00 / 1.51 / 0.50 / 2.00     
84000     44.60     0.68278        0.00496129       1.00 / 1.53 / 0.50 / 2.00     
85000     44.30     0.679192       0.00537715       1.00 / 1.49 / 0.50 / 2.00     
86000     43.70     0.678674       0.00495061       1.00 / 1.53 / 0.50 / 2.00     
87000     42.80     0.678964       0.00486832       1.00 / 1.54 / 0.50 / 2.00     
88000     42.70     0.679669       0.00510307       1.00 / 1.51 / 0.50 / 2.00     
89000     43.80     0.680073       0.00513116       1.00 / 1.51 / 0.50 / 2.00     
90000     45.10     0.678661       0.00530574       1.00 / 1.50 / 0.50 / 2.00     
91000     44.80     0.681718       0.00489121       1.00 / 1.54 / 0.50 / 2.00     
92000     43.60     0.679491       0.00510431       1.00 / 1.52 / 0.50 / 2.00     
93000     43.80     0.679287       0.00521093       1.00 / 1.51 / 0.50 / 2.00     
94000     43.10     0.679785       0.00473532       1.00 / 1.56 / 0.50 / 2.00     
95000     44.40     0.680774       0.00519041       1.00 / 1.51 / 0.50 / 2.00     
96000     44.70     0.678331       0.00511549       1.00 / 1.52 / 0.50 / 2.00     
97000     44.00     0.678497       0.00517752       1.00 / 1.51 / 0.50 / 2.00     
98000     43.70     0.678891       0.00491485       1.00 / 1.54 / 0.50 / 2.00     
99000     44.30     0.678563       0.004935         1.00 / 1.54 / 0.50 / 2.00     
100000    43.70     0.678773       0.00478055       1.00 / 1.55 / 0.50 / 2.00     
101000    43.90     0.681429       0.00482173       1.00 / 1.55 / 0.50 / 2.00     
102000    44.50     0.680637       0.00483155       1.00 / 1.55 / 0.50 / 2.00     
103000    43.90     0.677342       0.00467483       1.00 / 1.56 / 0.50 / 2.00     
104000    43.60     0.678568       0.00477319       1.00 / 1.56 / 0.50 / 2.00     
105000    43.20     0.679874       0.00471764       1.00 / 1.56 / 0.50 / 2.00     
106000    43.40     0.678993       0.00477306       1.00 / 1.56 / 0.50 / 2.00     
