steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      69.40     0.650827       0.292958         1.00 / 1.04 / 0.19 / 2.00     
2000      69.70     0.644439       0.300543         1.00 / 1.01 / 0.10 / 2.00     
3000      66.70     0.628817       0.299843         1.00 / 1.01 / 0.11 / 2.00     
4000      63.90     0.616941       0.298461         1.00 / 1.02 / 0.13 / 2.00     
5000      63.80     0.607129       0.296584         1.00 / 1.02 / 0.15 / 2.00     
6000      62.20     0.586383       0.301532         1.00 / 1.01 / 0.08 / 2.00     
7000      59.40     0.57177        0.300438         1.00 / 1.01 / 0.10 / 2.00     
8000      61.30     0.56175        0.302812         1.00 / 1.00 / 0.05 / 2.00     
9000      58.80     0.542152       0.302908         1.00 / 1.00 / 0.05 / 2.00     
10000     58.00     0.530946       0.303007         1.00 / 1.00 / 0.04 / 2.00     
11000     55.30     0.518876       0.303205         1.00 / 1.00 / 0.04 / 2.00     
12000     55.10     0.501996       0.303501         1.00 / 1.00 / 0.02 / 2.00     
13000     55.70     0.499539       0.3036           1.00 / 1.00 / 0.00 / 1.00     
14000     52.90     0.481246       0.3036           1.00 / 1.00 / 0.00 / 1.00     
15000     49.40     0.470013       0.303501         1.00 / 1.00 / 0.02 / 2.00     
16000     51.20     0.463293       0.3036           1.00 / 1.00 / 0.00 / 1.00     
17000     47.80     0.447061       0.3036           1.00 / 1.00 / 0.00 / 1.00     
18000     48.10     0.442342       0.3036           1.00 / 1.00 / 0.00 / 1.00     
19000     47.30     0.433908       0.3036           1.00 / 1.00 / 0.00 / 1.00     
20000     48.00     0.425753       0.3036           1.00 / 1.00 / 0.00 / 1.00     
21000     44.00     0.414362       0.3036           1.00 / 1.00 / 0.00 / 1.00     
22000     44.20     0.405924       0.3036           1.00 / 1.00 / 0.00 / 1.00     
23000     44.60     0.402879       0.3036           1.00 / 1.00 / 0.00 / 1.00     
24000     43.90     0.394891       0.3036           1.00 / 1.00 / 0.00 / 1.00     
25000     41.80     0.387008       0.3036           1.00 / 1.00 / 0.00 / 1.00     
26000     42.70     0.386781       0.3036           1.00 / 1.00 / 0.00 / 1.00     
27000     41.80     0.376891       0.3036           1.00 / 1.00 / 0.00 / 1.00     
28000     41.10     0.376076       0.3036           1.00 / 1.00 / 0.00 / 1.00     
29000     40.30     0.371582       0.3036           1.00 / 1.00 / 0.00 / 1.00     
30000     39.50     0.363189       0.3036           1.00 / 1.00 / 0.00 / 1.00     
31000     39.30     0.362107       0.3036           1.00 / 1.00 / 0.00 / 1.00     
32000     38.00     0.358689       0.3036           1.00 / 1.00 / 0.00 / 1.00     
33000     37.80     0.349137       0.3036           1.00 / 1.00 / 0.00 / 1.00     
34000     37.90     0.352947       0.3036           1.00 / 1.00 / 0.00 / 1.00     
35000     36.80     0.344194       0.3036           1.00 / 1.00 / 0.00 / 1.00     
36000     37.80     0.346144       0.3036           1.00 / 1.00 / 0.00 / 1.00     
37000     36.60     0.342494       0.3036           1.00 / 1.00 / 0.00 / 1.00     
38000     37.40     0.339247       0.3036           1.00 / 1.00 / 0.00 / 1.00     
39000     36.60     0.337692       0.3036           1.00 / 1.00 / 0.00 / 1.00     
40000     36.10     0.334428       0.3036           1.00 / 1.00 / 0.00 / 1.00     
41000     35.80     0.332442       0.3036           1.00 / 1.00 / 0.00 / 1.00     
42000     35.80     0.327173       0.3036           1.00 / 1.00 / 0.00 / 1.00     
43000     35.70     0.326658       0.3036           1.00 / 1.00 / 0.00 / 1.00     
44000     34.20     0.316933       0.3036           1.00 / 1.00 / 0.00 / 1.00     
45000     34.20     0.316481       0.3036           1.00 / 1.00 / 0.00 / 1.00     
