steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      83.90     1.57805        0.00103705       1.00 / 1.18 / 0.38 / 2.00     
2000      60.40     0.811044       0.00105053       1.00 / 1.17 / 0.38 / 2.00     
3000      51.50     0.562344       0.0010544        1.00 / 1.17 / 0.37 / 3.00     
4000      47.40     0.504218       0.00105432       1.00 / 1.17 / 0.37 / 2.00     
5000      42.10     0.382183       0.0010568        1.00 / 1.17 / 0.37 / 3.00     
6000      42.00     0.377971       0.00112118       1.00 / 1.09 / 0.28 / 2.00     
7000      41.20     0.387114       0.0010921        1.00 / 1.11 / 0.32 / 2.00     
8000      37.30     0.345161       0.00104549       1.00 / 1.15 / 0.36 / 2.00     
9000      37.80     0.320592       0.00104922       1.00 / 1.15 / 0.36 / 2.00     
10000     37.10     0.312378       0.00103546       1.00 / 1.17 / 0.37 / 2.00     
11000     34.40     0.277767       0.00103738       1.00 / 1.16 / 0.37 / 2.00     
12000     34.20     0.301954       0.00103845       1.00 / 1.16 / 0.37 / 2.00     
13000     35.10     0.294292       0.00103523       1.00 / 1.17 / 0.37 / 2.00     
14000     31.70     0.251671       0.00103747       1.00 / 1.17 / 0.37 / 2.00     
15000     31.10     0.267495       0.00103866       1.00 / 1.17 / 0.37 / 2.00     
16000     29.10     0.251536       0.00102255       1.00 / 1.18 / 0.38 / 2.00     
17000     29.80     0.253371       0.00103462       1.00 / 1.17 / 0.38 / 3.00     
18000     28.40     0.234762       0.00103122       1.00 / 1.17 / 0.38 / 2.00     
19000     27.90     0.234368       0.00103169       1.00 / 1.18 / 0.38 / 2.00     
20000     26.20     0.210325       0.00103496       1.00 / 1.17 / 0.37 / 3.00     
21000     25.70     0.20964        0.0010348        1.00 / 1.17 / 0.38 / 2.00     
22000     27.80     0.222171       0.00103393       1.00 / 1.18 / 0.40 / 3.00     
23000     25.80     0.192793       0.00103171       1.00 / 1.18 / 0.38 / 3.00     
24000     26.70     0.214237       0.00103597       1.00 / 1.17 / 0.38 / 2.00     
25000     24.40     0.202375       0.00103592       1.00 / 1.18 / 0.39 / 3.00     
26000     27.80     0.229486       0.00103466       1.00 / 1.17 / 0.37 / 2.00     
27000     23.60     0.189766       0.00103098       1.00 / 1.18 / 0.38 / 3.00     
28000     26.40     0.211096       0.00103254       1.00 / 1.18 / 0.38 / 2.00     
29000     25.00     0.197677       0.00103025       1.00 / 1.18 / 0.38 / 2.00     
30000     23.10     0.191359       0.00103451       1.00 / 1.17 / 0.38 / 2.00     
31000     22.60     0.169107       0.00103453       1.00 / 1.17 / 0.38 / 2.00     
32000     24.40     0.185085       0.00103549       1.00 / 1.18 / 0.38 / 2.00     
33000     22.90     0.171879       0.00103624       1.00 / 1.17 / 0.38 / 2.00     
34000     22.90     0.166546       0.00103809       1.00 / 1.17 / 0.38 / 2.00     
35000     23.90     0.181511       0.00102791       1.00 / 1.18 / 0.39 / 3.00     
36000     22.50     0.177453       0.00103645       1.00 / 1.18 / 0.38 / 2.00     
37000     20.90     0.159516       0.00103961       1.00 / 1.17 / 0.38 / 2.00     
38000     22.80     0.172895       0.00103812       1.00 / 1.17 / 0.38 / 2.00     
39000     21.10     0.160466       0.00103709       1.00 / 1.17 / 0.38 / 2.00     
40000     23.40     0.175938       0.0010392        1.00 / 1.17 / 0.38 / 2.00     
41000     24.00     0.186145       0.00103718       1.00 / 1.17 / 0.38 / 2.00     
42000     20.80     0.168779       0.00103436       1.00 / 1.18 / 0.38 / 2.00     
43000     22.20     0.169305       0.0010397        1.00 / 1.18 / 0.39 / 3.00     
44000     22.20     0.170542       0.00104134       1.00 / 1.17 / 0.38 / 3.00     
45000     20.20     0.155796       0.00103997       1.00 / 1.17 / 0.38 / 2.00     
46000     21.80     0.170533       0.00104153       1.00 / 1.17 / 0.38 / 3.00     
47000     21.90     0.16703        0.00104517       1.00 / 1.17 / 0.38 / 3.00     
48000     22.40     0.166482       0.00104308       1.00 / 1.17 / 0.38 / 3.00     
49000     19.70     0.150375       0.00104316       1.00 / 1.17 / 0.38 / 2.00     
50000     19.80     0.15556        0.00103925       1.00 / 1.18 / 0.38 / 2.00     
51000     20.80     0.161549       0.0010429        1.00 / 1.17 / 0.37 / 2.00     
52000     20.20     0.149272       0.00104485       1.00 / 1.17 / 0.37 / 2.00     
53000     21.20     0.155497       0.00104046       1.00 / 1.17 / 0.37 / 2.00     
54000     18.00     0.145687       0.0010457        1.00 / 1.17 / 0.38 / 2.00     
55000     20.50     0.160707       0.00100481       1.00 / 1.21 / 0.41 / 2.00     
56000     19.30     0.15602        0.00104439       1.00 / 1.17 / 0.37 / 2.00     
57000     18.90     0.143059       0.00104488       1.00 / 1.17 / 0.38 / 2.00     
58000     20.10     0.143331       0.00104431       1.00 / 1.18 / 0.38 / 2.00     
59000     19.00     0.153503       0.00104075       1.00 / 1.17 / 0.38 / 2.00     
60000     18.50     0.134527       0.00104364       1.00 / 1.17 / 0.38 / 2.00     
61000     17.80     0.137845       0.00104719       1.00 / 1.17 / 0.37 / 2.00     
62000     19.70     0.154127       0.00104481       1.00 / 1.17 / 0.38 / 2.00     
63000     18.90     0.14303        0.00104828       1.00 / 1.17 / 0.37 / 2.00     
64000     17.90     0.136798       0.00105171       1.00 / 1.17 / 0.38 / 2.00     
65000     17.10     0.129435       0.00105084       1.00 / 1.17 / 0.37 / 2.00     
66000     17.30     0.137302       0.00104812       1.00 / 1.17 / 0.38 / 2.00     
67000     18.60     0.133029       0.00105384       1.00 / 1.17 / 0.37 / 2.00     
68000     15.10     0.122822       0.00104826       1.00 / 1.17 / 0.37 / 2.00     
69000     18.50     0.137422       0.00105348       1.00 / 1.17 / 0.37 / 2.00     
70000     19.40     0.144583       0.0010535        1.00 / 1.17 / 0.37 / 2.00     
71000     18.50     0.151207       0.00105302       1.00 / 1.17 / 0.37 / 2.00     
72000     16.50     0.1252         0.00105072       1.00 / 1.17 / 0.37 / 2.00     
73000     18.80     0.135339       0.00104768       1.00 / 1.17 / 0.38 / 2.00     
74000     19.10     0.143213       0.0010522        1.00 / 1.17 / 0.37 / 2.00     
75000     17.70     0.131651       0.00105066       1.00 / 1.17 / 0.37 / 2.00     
76000     18.20     0.129759       0.00105413       1.00 / 1.17 / 0.37 / 2.00     
77000     16.40     0.122314       0.00105215       1.00 / 1.17 / 0.37 / 2.00     
78000     17.10     0.13208        0.00105408       1.00 / 1.17 / 0.37 / 2.00     
79000     17.90     0.141743       0.0010519        1.00 / 1.17 / 0.37 / 2.00     
80000     18.70     0.136461       0.00105351       1.00 / 1.17 / 0.38 / 2.00     
81000     16.70     0.122724       0.00105354       1.00 / 1.17 / 0.38 / 2.00     
82000     17.00     0.130974       0.00105586       1.00 / 1.17 / 0.37 / 2.00     
83000     16.90     0.126209       0.00105554       1.00 / 1.17 / 0.37 / 2.00     
84000     16.30     0.130159       0.00105141       1.00 / 1.17 / 0.37 / 2.00     
85000     16.80     0.129266       0.00105931       1.00 / 1.17 / 0.37 / 2.00     
86000     16.10     0.122563       0.00105489       1.00 / 1.17 / 0.37 / 2.00     
87000     17.40     0.130422       0.00106028       1.00 / 1.17 / 0.37 / 2.00     
88000     15.30     0.113564       0.00105526       1.00 / 1.17 / 0.37 / 2.00     
89000     16.00     0.114214       0.00105165       1.00 / 1.17 / 0.37 / 2.00     
90000     14.90     0.111833       0.00105408       1.00 / 1.17 / 0.37 / 2.00     
91000     16.10     0.119504       0.00105239       1.00 / 1.17 / 0.37 / 2.00     
92000     17.30     0.127817       0.00105744       1.00 / 1.17 / 0.37 / 2.00     
93000     17.90     0.128085       0.00105181       1.00 / 1.17 / 0.37 / 2.00     
94000     15.00     0.11459        0.00105473       1.00 / 1.17 / 0.38 / 3.00     
95000     15.70     0.117246       0.00105173       1.00 / 1.17 / 0.37 / 2.00     
96000     14.10     0.105226       0.00105632       1.00 / 1.17 / 0.37 / 2.00     
97000     16.50     0.121203       0.00105828       1.00 / 1.17 / 0.37 / 2.00     
98000     15.90     0.104177       0.00105493       1.00 / 1.17 / 0.37 / 2.00     
99000     14.20     0.107784       0.00105845       1.00 / 1.17 / 0.37 / 2.00     
