steps     error     softmax loss   
--------------------------------
1000      68.80     0.648226       
2000      68.20     0.640874       
3000      66.90     0.62629        
4000      63.70     0.608856       
5000      62.10     0.59132        
6000      62.40     0.57745        
7000      60.90     0.560296       
8000      59.50     0.543712       
9000      57.20     0.527406       
10000     58.30     0.516602       
11000     55.20     0.506627       
12000     56.80     0.502796       
13000     56.20     0.489601       
14000     53.80     0.476973       
15000     52.30     0.465116       
16000     50.60     0.456434       
17000     48.00     0.447805       
18000     48.40     0.434654       
19000     45.70     0.429408       
20000     46.10     0.421075       
21000     44.40     0.413081       
22000     42.50     0.407803       
23000     42.30     0.398986       
24000     42.30     0.390286       
25000     42.00     0.387257       
26000     41.80     0.381821       
27000     40.60     0.371789       
28000     41.10     0.36792        
29000     40.30     0.362841       
30000     38.90     0.357901       
31000     37.60     0.351209       
32000     38.40     0.348775       
33000     36.20     0.345762       
34000     36.20     0.343031       
35000     36.60     0.33984        
36000     36.50     0.333637       
37000     37.00     0.336022       
38000     36.10     0.32685        
39000     35.50     0.328184       
40000     35.40     0.323241       
41000     34.30     0.32355        
42000     34.00     0.316494       
43000     34.00     0.315273       
44000     33.80     0.311897       
45000     34.00     0.308182       
46000     34.00     0.304874       
47000     33.80     0.305489       
48000     34.00     0.311197       
49000     34.20     0.310461       
50000     34.00     0.308214       
51000     33.60     0.306122       
52000     32.90     0.297568       
53000     33.30     0.300029       
54000     32.00     0.29834        
55000     32.80     0.295287       
56000     32.50     0.294796       
57000     32.90     0.293388       
58000     32.70     0.292321       
59000     31.90     0.288586       
60000     31.20     0.292392       
61000     32.50     0.291167       
62000     31.10     0.281556       
63000     32.60     0.287631       
64000     30.70     0.283424       
65000     31.30     0.282752       
66000     31.50     0.28143        
67000     29.90     0.274086       
68000     30.30     0.275171       
69000     31.50     0.27085        
70000     31.20     0.266615       
71000     29.80     0.270541       
72000     30.80     0.26911        
73000     30.20     0.26307        
74000     29.00     0.262019       
75000     30.50     0.263187       
76000     28.80     0.26163        
77000     29.50     0.257149       
78000     28.60     0.257371       
79000     29.10     0.259662       
80000     28.70     0.2532         
81000     28.70     0.25381        
82000     30.30     0.258164       
83000     30.00     0.257112       
84000     29.90     0.258036       
85000     28.70     0.254956       
86000     28.40     0.257224       
87000     28.70     0.252049       
88000     28.80     0.250319       
89000     27.40     0.2527         
90000     28.20     0.250214       
91000     28.00     0.247362       
92000     27.30     0.248365       
93000     28.10     0.245858       
94000     27.90     0.24722        
95000     28.30     0.245715       
96000     27.70     0.241539       
97000     26.90     0.239228       
98000     28.40     0.245919       
99000     27.40     0.244609       
100000    27.80     0.242895       
101000    27.30     0.243869       
102000    26.90     0.24265        
103000    27.00     0.241182       
104000    27.30     0.238198       
105000    27.40     0.237787       
106000    26.80     0.239883       
107000    26.90     0.237392       
108000    26.80     0.233594       
109000    26.80     0.241915       
