steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      47.40     0.69132        5.30817e-05      2.00 / 2.00 / 0.00 / 2.00     
2000      46.70     0.691832       4.97481e-05      1.00 / 2.02 / 0.16 / 3.00     
3000      49.80     0.692899       5.18494e-05      1.00 / 2.00 / 0.10 / 3.00     
4000      46.50     0.691913       5.46777e-05      1.00 / 2.02 / 0.15 / 3.00     
5000      48.80     0.692855       5.83382e-05      1.00 / 2.18 / 0.39 / 3.00     
6000      48.70     0.690977       9.75224e-05      1.00 / 2.15 / 0.40 / 3.00     
7000      46.70     0.690427       0.000161844      2.00 / 2.49 / 0.50 / 4.00     
8000      48.00     0.692133       0.000215006      2.00 / 2.48 / 0.58 / 4.00     
9000      45.40     0.680558       0.000367353      2.00 / 2.59 / 0.68 / 4.00     
10000     46.00     0.683481       0.000433827      2.00 / 2.51 / 0.64 / 4.00     
11000     46.60     0.679018       0.000478013      1.00 / 2.60 / 0.73 / 4.00     
12000     44.30     0.669583       0.000541659      1.00 / 2.59 / 0.73 / 4.00     
13000     46.50     0.674164       0.000562629      1.00 / 2.62 / 0.77 / 4.00     
14000     47.50     0.67724        0.000564232      1.00 / 2.65 / 0.80 / 4.00     
15000     45.40     0.664211       0.000598122      1.00 / 2.63 / 0.80 / 4.00     
16000     44.40     0.669585       0.000606108      1.00 / 2.62 / 0.81 / 4.00     
17000     46.90     0.662667       0.000599353      1.00 / 2.64 / 0.83 / 4.00     
18000     45.40     0.65713        0.000602079      1.00 / 2.65 / 0.83 / 5.00     
19000     45.90     0.654876       0.000588597      1.00 / 2.65 / 0.85 / 5.00     
20000     43.80     0.647808       0.000560885      1.00 / 2.66 / 0.86 / 5.00     
21000     45.40     0.649699       0.000583421      1.00 / 2.69 / 0.88 / 5.00     
22000     45.80     0.651209       0.000575168      1.00 / 2.66 / 0.87 / 5.00     
23000     43.90     0.643524       0.000572801      1.00 / 2.64 / 0.88 / 5.00     
24000     45.80     0.648946       0.000553435      1.00 / 2.69 / 0.89 / 5.00     
