steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      46.70     0.692151       1.69951e-05      2.00 / 2.00 / 0.00 / 2.00     
2000      47.10     0.691628       2.55154e-05      2.00 / 2.00 / 0.00 / 2.00     
3000      45.10     0.688711       4.31201e-05      2.00 / 2.00 / 0.00 / 2.00     
4000      46.80     0.689333       6.7018e-05       2.00 / 2.01 / 0.09 / 3.00     
5000      45.40     0.68596        4.91116e-05      2.00 / 2.63 / 0.84 / 6.00     
6000      45.20     0.682854       4.52567e-05      2.00 / 2.56 / 0.68 / 4.00     
7000      45.80     0.684555       4.92413e-05      1.00 / 2.48 / 0.57 / 4.00     
8000      46.50     0.684511       3.95032e-05      1.00 / 2.88 / 1.07 / 7.00     
9000      46.20     0.680248       3.95002e-05      1.00 / 2.85 / 0.98 / 6.00     
10000     48.20     0.691398       3.61658e-05      1.00 / 3.61 / 2.19 / 10.00    
11000     46.20     0.67722        3.64622e-05      1.00 / 3.89 / 2.64 / 10.00    
12000     46.70     0.676472       4.27548e-05      1.00 / 3.26 / 1.86 / 10.00    
13000     45.70     0.662003       4.37942e-05      1.00 / 3.32 / 1.95 / 10.00    
14000     42.60     0.639913       4.61514e-05      1.00 / 3.37 / 1.96 / 10.00    
15000     42.20     0.626768       4.75217e-05      1.00 / 3.96 / 2.38 / 10.00    
16000     39.20     0.592607       4.82844e-05      1.00 / 3.93 / 2.29 / 10.00    
17000     39.10     0.586823       4.10306e-05      1.00 / 4.55 / 2.75 / 10.00    
18000     35.90     0.531392       4.64992e-05      1.00 / 4.51 / 2.76 / 10.00    
19000     33.30     0.497264       5.05321e-05      1.00 / 4.39 / 2.56 / 10.00    
20000     27.90     0.441168       5.5952e-05       1.00 / 4.83 / 2.98 / 10.00    
21000     14.40     0.261775       5.08808e-05      1.00 / 5.36 / 2.75 / 10.00    
22000     7.30      0.155811       5.88087e-05      2.00 / 5.80 / 2.37 / 10.00    
23000     2.30      0.0581298      5.17161e-05      2.00 / 6.04 / 2.46 / 10.00    
24000     2.20      0.0398566      5.23793e-05      2.00 / 6.04 / 2.49 / 10.00    
25000     1.70      0.0300837      5.60606e-05      2.00 / 5.97 / 2.48 / 10.00    
26000     1.20      0.0300127      6.133e-05        2.00 / 5.89 / 2.42 / 10.00    
27000     2.70      0.0748973      5.75979e-05      2.00 / 5.97 / 2.30 / 10.00    
28000     0.70      0.0207109      6.65222e-05      2.00 / 5.84 / 2.41 / 10.00    
29000     0.60      0.019794       5.69065e-05      2.00 / 5.97 / 2.48 / 10.00    
30000     1.70      0.0476513      6.67923e-05      2.00 / 5.83 / 2.37 / 10.00    
31000     0.70      0.0144151      5.94823e-05      2.00 / 5.93 / 2.44 / 10.00    
32000     0.60      0.0165033      6.473e-05        2.00 / 5.88 / 2.43 / 10.00    
33000     0.90      0.0261128      6.0271e-05       2.00 / 5.92 / 2.40 / 10.00    
34000     0.20      0.0101546      6.1308e-05       2.00 / 5.90 / 2.43 / 10.00    
35000     0.20      0.0105338      5.57601e-05      2.00 / 5.98 / 2.47 / 10.00    
36000     0.30      0.0112669      5.8846e-05       2.00 / 5.94 / 2.47 / 10.00    
37000     0.20      0.00810925     5.53586e-05      2.00 / 5.99 / 2.45 / 10.00    
38000     0.90      0.0247733      6.49164e-05      2.00 / 5.89 / 2.39 / 10.00    
39000     0.10      0.00662065     5.47124e-05      2.00 / 6.00 / 2.48 / 10.00    
40000     0.10      0.0064918      6.44096e-05      2.00 / 5.88 / 2.44 / 10.00    
41000     1.00      0.0290284      6.33333e-05      2.00 / 5.91 / 2.39 / 10.00    
42000     0.20      0.00559283     6.35798e-05      2.00 / 5.89 / 2.41 / 10.00    
43000     0.10      0.00460536     6.22755e-05      2.00 / 5.90 / 2.45 / 10.00    
44000     0.10      0.00600947     6.90252e-05      2.00 / 5.83 / 2.32 / 10.00    
45000     0.50      0.0123761      6.50024e-05      2.00 / 5.87 / 2.34 / 10.00    
46000     0.10      0.00601636     6.02631e-05      2.00 / 5.95 / 2.41 / 10.00    
47000     0.10      0.00313292     6.17703e-05      2.00 / 5.91 / 2.45 / 10.00    
48000     0.20      0.00544114     6.41646e-05      2.00 / 5.90 / 2.47 / 10.00    
49000     0.10      0.00339631     6.58703e-05      2.00 / 5.88 / 2.43 / 10.00    
50000     0.10      0.00378893     6.39326e-05      2.00 / 5.91 / 2.46 / 10.00    
51000     0.10      0.0033881      6.43175e-05      2.00 / 5.91 / 2.46 / 10.00    
52000     0.10      0.00879505     5.53902e-05      2.00 / 6.04 / 2.35 / 10.00    
53000     0.50      0.0127186      5.59628e-05      2.00 / 6.01 / 2.41 / 10.00    
54000     0.10      0.00443732     5.46585e-05      2.00 / 6.01 / 2.45 / 10.00    
55000     0.20      0.00601301     6.41345e-05      2.00 / 5.90 / 2.44 / 10.00    
56000     0.10      0.00292824     6.37909e-05      2.00 / 5.90 / 2.45 / 10.00    
57000     0.10      0.0037891      6.45739e-05      2.00 / 5.88 / 2.44 / 10.00    
58000     0.10      0.00277555     6.76359e-05      2.00 / 5.86 / 2.39 / 10.00    
59000     0.10      0.00452075     6.39865e-05      2.00 / 5.89 / 2.44 / 10.00    
60000     1.60      0.0541482      6.46352e-05      2.00 / 5.88 / 2.36 / 10.00    
61000     0.10      0.00381126     6.11905e-05      2.00 / 5.94 / 2.48 / 10.00    
62000     0.10      0.00285154     6.63986e-05      2.00 / 5.89 / 2.43 / 10.00    
63000     0.10      0.00506379     6.68737e-05      2.00 / 5.87 / 2.44 / 10.00    
64000     0.20      0.00365216     5.75774e-05      2.00 / 5.98 / 2.50 / 10.00    
65000     1.40      0.0433517      5.89281e-05      2.00 / 5.92 / 2.44 / 10.00    
66000     0.60      0.0202683      5.43593e-05      2.00 / 6.04 / 2.54 / 10.00    
67000     0.10      0.00271992     5.70121e-05      2.00 / 5.99 / 2.48 / 10.00    
68000     1.00      0.0271312      5.05028e-05      2.00 / 6.07 / 2.52 / 10.00    
69000     0.00      0.00194042     5.36822e-05      2.00 / 6.04 / 2.48 / 10.00    
70000     0.10      0.00312562     5.59152e-05      2.00 / 6.00 / 2.49 / 10.00    
71000     0.10      0.00396994     5.88774e-05      2.00 / 5.98 / 2.46 / 10.00    
72000     0.10      0.00339246     5.5468e-05       2.00 / 6.01 / 2.51 / 10.00    
73000     0.10      0.00365181     4.74676e-05      2.00 / 6.13 / 2.55 / 10.00    
74000     0.10      0.00349446     4.87206e-05      2.00 / 6.13 / 2.54 / 10.00    
75000     0.10      0.00311066     4.9261e-05       2.00 / 6.12 / 2.57 / 10.00    
76000     0.10      0.00302299     5.07239e-05      2.00 / 6.09 / 2.53 / 10.00    
77000     0.10      0.00527876     6.35027e-05      2.00 / 5.93 / 2.43 / 10.00    
78000     0.10      0.00623038     4.43729e-05      2.00 / 6.16 / 2.56 / 10.00    
79000     0.10      0.00261305     4.7821e-05       2.00 / 6.11 / 2.53 / 10.00    
80000     0.10      0.00342437     5.12174e-05      2.00 / 6.07 / 2.53 / 10.00    
81000     0.10      0.00328589     5.31155e-05      2.00 / 6.05 / 2.54 / 10.00    
82000     0.10      0.00298033     5.3482e-05       2.00 / 6.07 / 2.53 / 10.00    
83000     0.50      0.0193541      5.89192e-05      2.00 / 6.03 / 2.54 / 10.00    
84000     0.10      0.00375506     5.57908e-05      2.00 / 6.04 / 2.52 / 10.00    
85000     0.70      0.0218812      5.23433e-05      2.00 / 6.11 / 2.50 / 10.00    
86000     0.10      0.00384406     5.39863e-05      2.00 / 6.07 / 2.49 / 10.00    
87000     0.30      0.0045371      5.85088e-05      2.00 / 6.01 / 2.51 / 10.00    
88000     0.10      0.00205742     5.67991e-05      2.00 / 6.04 / 2.50 / 10.00    
89000     0.20      0.0119254      6.31309e-05      2.00 / 5.97 / 2.33 / 10.00    
90000     0.10      0.00268934     5.51153e-05      2.00 / 6.03 / 2.49 / 10.00    
91000     0.10      0.00344752     6.33904e-05      2.00 / 5.96 / 2.40 / 10.00    
92000     0.20      0.0113131      5.96811e-05      2.00 / 6.01 / 2.40 / 10.00    
93000     0.20      0.00363414     6.30651e-05      2.00 / 5.94 / 2.47 / 10.00    
94000     0.10      0.00298711     6.81675e-05      2.00 / 5.88 / 2.41 / 10.00    
95000     0.10      0.00177812     6.14322e-05      2.00 / 6.01 / 2.30 / 10.00    
96000     0.10      0.00169965     6.62507e-05      2.00 / 5.95 / 2.30 / 10.00    
97000     0.20      0.00373057     6.23549e-05      2.00 / 6.00 / 2.36 / 10.00    
98000     0.20      0.00364505     6.64573e-05      2.00 / 5.92 / 2.33 / 10.00    
99000     0.10      0.00264681     6.65767e-05      2.00 / 5.92 / 2.39 / 10.00    
100000    0.20      0.00289173     7.15491e-05      2.00 / 5.86 / 2.30 / 10.00    
101000    0.20      0.00452187     6.4999e-05       2.00 / 5.95 / 2.40 / 10.00    
102000    0.30      0.00331806     7.39784e-05      2.00 / 5.84 / 2.32 / 10.00    
103000    0.10      0.00158935     6.70599e-05      2.00 / 5.92 / 2.33 / 10.00    
104000    0.10      0.00255109     7.1159e-05       2.00 / 5.87 / 2.35 / 10.00    
105000    0.30      0.00763135     5.86223e-05      2.00 / 6.09 / 2.36 / 10.00    
106000    0.40      0.00607387     5.63649e-05      2.00 / 6.06 / 2.39 / 10.00    
107000    0.10      0.00303566     6.68057e-05      2.00 / 5.92 / 2.42 / 10.00    
108000    0.20      0.00321782     6.79806e-05      2.00 / 5.90 / 2.43 / 10.00    
109000    0.60      0.014287       7.39235e-05      2.00 / 5.84 / 2.33 / 10.00    
110000    0.00      0.0020384      6.2967e-05       2.00 / 5.95 / 2.41 / 10.00    
111000    0.60      0.00887626     7.31363e-05      2.00 / 5.84 / 2.36 / 10.00    
112000    0.70      0.0119312      6.44657e-05      2.00 / 5.95 / 2.40 / 10.00    
113000    0.50      0.0129238      6.52067e-05      2.00 / 5.96 / 2.36 / 10.00    
114000    0.10      0.00292903     4.44159e-05      2.00 / 6.22 / 2.34 / 10.00    
115000    0.60      0.0474128      6.52452e-05      2.00 / 5.97 / 2.36 / 10.00    
116000    0.30      0.00554351     6.74301e-05      2.00 / 5.93 / 2.39 / 10.00    
117000    0.10      0.00227606     6.97484e-05      2.00 / 5.92 / 2.22 / 10.00    
118000    0.10      0.00355829     7.22442e-05      2.00 / 5.86 / 2.36 / 10.00    
119000    0.10      0.00169671     6.84654e-05      2.00 / 5.91 / 2.38 / 10.00    
120000    0.20      0.00261831     5.905e-05        2.00 / 6.04 / 2.38 / 10.00    
121000    0.40      0.0163341      7.02383e-05      2.00 / 5.90 / 2.28 / 10.00    
122000    0.10      0.00200512     5.96685e-05      2.00 / 6.04 / 2.33 / 10.00    
123000    0.10      0.00251271     6.15405e-05      2.00 / 5.98 / 2.36 / 10.00    
124000    0.10      0.00324494     7.18271e-05      2.00 / 5.84 / 2.34 / 10.00    
125000    0.30      0.0144487      6.81114e-05      2.00 / 5.90 / 2.37 / 10.00    
126000    0.10      0.00280593     7.50532e-05      2.00 / 5.81 / 2.31 / 10.00    
127000    0.20      0.00454716     6.04566e-05      2.00 / 5.97 / 2.39 / 10.00    
128000    0.10      0.0039837      6.37002e-05      2.00 / 5.94 / 2.43 / 10.00    
129000    0.00      0.000915026    6.81715e-05      2.00 / 5.88 / 2.43 / 10.00    
130000    1.70      0.0453771      7.219e-05        2.00 / 5.87 / 2.43 / 10.00    
131000    0.10      0.00676487     7.43628e-05      2.00 / 5.82 / 2.39 / 10.00    
132000    0.10      0.00429966     7.27839e-05      2.00 / 5.82 / 2.29 / 10.00    
133000    0.10      0.0027111      6.69632e-05      2.00 / 5.94 / 2.40 / 10.00    
134000    0.20      0.00316145     6.93219e-05      2.00 / 5.89 / 2.41 / 10.00    
135000    0.10      0.00208532     6.3078e-05       2.00 / 5.97 / 2.36 / 10.00    
136000    0.10      0.00178441     6.43607e-05      2.00 / 5.96 / 2.38 / 10.00    
137000    0.10      0.00234707     6.10548e-05      2.00 / 5.98 / 2.32 / 10.00    
138000    0.20      0.0106732      6.3163e-05       2.00 / 5.98 / 2.31 / 10.00    
139000    0.10      0.00109266     7.10926e-05      2.00 / 5.89 / 2.30 / 10.00    
140000    0.10      0.00172731     6.9504e-05       2.00 / 5.92 / 2.24 / 10.00    
141000    0.40      0.00478539     7.19687e-05      2.00 / 5.87 / 2.36 / 10.00    
142000    0.20      0.00463606     6.17737e-05      2.00 / 6.01 / 2.25 / 10.00    
143000    0.10      0.00192309     6.41573e-05      2.00 / 6.00 / 2.32 / 10.00    
144000    0.20      0.00544544     5.90914e-05      2.00 / 6.01 / 2.37 / 10.00    
145000    0.30      0.0129708      6.7554e-05       2.00 / 5.92 / 2.33 / 10.00    
146000    0.10      0.00542523     4.48775e-05      2.00 / 6.20 / 2.24 / 10.00    
147000    0.10      0.00162726     6.04618e-05      2.00 / 6.02 / 2.30 / 10.00    
148000    0.10      0.00135716     5.1267e-05       2.00 / 6.09 / 2.26 / 10.00    
149000    0.40      0.00742446     6.34959e-05      2.00 / 5.99 / 2.24 / 10.00    
150000    0.00      0.000623214    7.39338e-05      2.00 / 5.83 / 2.37 / 10.00    
151000    0.20      0.0054035      6.14157e-05      2.00 / 6.00 / 2.32 / 10.00    
152000    0.10      0.00357412     5.83906e-05      2.00 / 6.02 / 2.38 / 10.00    
153000    0.00      0.00135847     6.25723e-05      2.00 / 5.98 / 2.32 / 10.00    
154000    0.10      0.00286713     5.89914e-05      2.00 / 6.01 / 2.27 / 10.00    
155000    0.20      0.00499519     7.13806e-05      2.00 / 5.81 / 2.28 / 10.00    
156000    0.10      0.00222956     6.10844e-05      2.00 / 6.00 / 2.30 / 10.00    
157000    0.10      0.00151073     6.09221e-05      2.00 / 5.98 / 2.31 / 10.00    
158000    0.10      0.00175845     5.70792e-05      2.00 / 6.03 / 2.26 / 10.00    
159000    0.10      0.00402169     6.43009e-05      2.00 / 5.93 / 2.29 / 10.00    
160000    0.40      0.0131888      7.03341e-05      2.00 / 5.89 / 2.24 / 10.00    
161000    0.10      0.00222168     6.33747e-05      2.00 / 5.94 / 2.20 / 10.00    
162000    0.10      0.0019726      6.98509e-05      2.00 / 5.88 / 2.24 / 10.00    
163000    0.40      0.00725894     6.81725e-05      2.00 / 5.88 / 2.25 / 10.00    
164000    0.10      0.00366245     6.69468e-05      2.00 / 5.92 / 2.42 / 10.00    
165000    0.10      0.00172499     6.90052e-05      2.00 / 5.90 / 2.39 / 10.00    
166000    0.10      0.00333734     7.05558e-05      2.00 / 5.87 / 2.30 / 10.00    
167000    0.60      0.0176064      6.566e-05        2.00 / 5.94 / 2.28 / 10.00    
168000    0.30      0.00492874     6.30674e-05      2.00 / 5.99 / 2.40 / 10.00    
169000    0.20      0.00391475     6.64946e-05      2.00 / 5.95 / 2.34 / 10.00    
170000    0.20      0.00492573     6.42035e-05      2.00 / 5.93 / 2.33 / 10.00    
171000    1.30      0.0383363      5.38705e-05      2.00 / 6.09 / 2.22 / 10.00    
172000    0.10      0.00255641     5.83249e-05      2.00 / 6.01 / 2.31 / 10.00    
173000    0.50      0.00527058     6.88567e-05      2.00 / 5.90 / 2.30 / 10.00    
174000    0.60      0.0128427      6.57647e-05      2.00 / 5.94 / 2.34 / 10.00    
175000    0.10      0.00323889     6.82685e-05      2.00 / 5.91 / 2.35 / 10.00    
176000    0.10      0.00276651     6.53195e-05      2.00 / 5.95 / 2.40 / 10.00    
177000    0.10      0.00350173     7.6679e-05       2.00 / 5.78 / 2.32 / 10.00    
178000    0.10      0.00288608     7.48528e-05      2.00 / 5.81 / 2.36 / 10.00    
179000    0.20      0.00641134     6.37773e-05      2.00 / 5.94 / 2.34 / 10.00    
180000    0.30      0.0143413      5.85665e-05      2.00 / 6.05 / 2.22 / 10.00    
181000    0.10      0.00349445     5.54921e-05      2.00 / 6.07 / 2.27 / 10.00    
182000    0.10      0.00438168     6.22632e-05      2.00 / 5.98 / 2.37 / 10.00    
183000    0.60      0.0234596      5.40209e-05      2.00 / 6.07 / 2.38 / 10.00    
184000    1.40      0.0302096      6.50263e-05      2.00 / 5.93 / 2.36 / 10.00    
185000    0.50      0.0148093      5.87494e-05      2.00 / 6.01 / 2.32 / 10.00    
186000    0.80      0.0218562      5.31411e-05      2.00 / 6.14 / 2.21 / 10.00    
187000    0.20      0.00552629     5.9576e-05       2.00 / 6.07 / 2.26 / 10.00    
188000    0.30      0.00690358     6.10255e-05      2.00 / 6.00 / 2.30 / 10.00    
189000    0.10      0.00313927     6.47333e-05      2.00 / 5.97 / 2.33 / 10.00    
190000    0.60      0.0118203      6.39138e-05      2.00 / 5.94 / 2.36 / 10.00    
191000    0.10      0.00309204     6.28089e-05      2.00 / 5.98 / 2.37 / 10.00    
192000    0.10      0.00292513     6.33158e-05      2.00 / 5.97 / 2.38 / 10.00    
193000    0.10      0.00329998     6.27897e-05      2.00 / 5.98 / 2.40 / 10.00    
194000    0.70      0.00992396     6.47639e-05      2.00 / 5.93 / 2.39 / 10.00    
195000    0.60      0.0132872      5.51023e-05      2.00 / 5.94 / 2.20 / 10.00    
196000    0.30      0.00727286     6.46302e-05      2.00 / 5.94 / 2.20 / 10.00    
197000    0.70      0.00654684     6.53354e-05      2.00 / 5.91 / 2.21 / 10.00    
198000    0.10      0.00374195     6.92127e-05      2.00 / 5.84 / 2.25 / 10.00    
199000    0.70      0.016432       4.97782e-05      2.00 / 6.02 / 2.13 / 10.00    
200000    0.10      0.00311572     5.24913e-05      2.00 / 5.99 / 2.13 / 10.00    
201000    0.10      0.00290608     5.8238e-05       2.00 / 5.95 / 2.14 / 10.00    
202000    0.70      0.0180337      5.98267e-05      2.00 / 5.74 / 1.96 / 10.00    
203000    0.70      0.0223256      7.23398e-05      2.00 / 5.58 / 1.95 / 10.00    
204000    0.10      0.0044432      7.44501e-05      2.00 / 5.56 / 1.96 / 10.00    
205000    0.30      0.0073847      7.43201e-05      2.00 / 5.56 / 1.96 / 10.00    
206000    0.10      0.00274552     7.54694e-05      2.00 / 5.54 / 2.06 / 10.00    
207000    0.00      0.000882434    7.65578e-05      2.00 / 5.54 / 2.05 / 10.00    
208000    0.00      0.000651185    7.70892e-05      2.00 / 5.51 / 2.03 / 10.00    
209000    0.00      0.000667545    6.92993e-05      2.00 / 5.61 / 1.93 / 10.00    
210000    0.00      0.000432123    7.15091e-05      2.00 / 5.60 / 1.99 / 10.00    
211000    1.30      0.0477458      5.20586e-05      2.00 / 5.59 / 1.84 / 10.00    
212000    0.00      0.0022801      6.52945e-05      2.00 / 5.43 / 1.89 / 10.00    
213000    0.00      0.000861774    6.59854e-05      2.00 / 5.45 / 1.93 / 10.00    
