steps     error     softmax loss   
--------------------------------
1000      51.30     0.693738       
2000      46.00     0.690624       
3000      48.60     0.693358       
4000      47.30     0.691189       
5000      47.30     0.692244       
6000      49.00     0.693819       
7000      49.00     0.694004       
8000      46.00     0.6912         
9000      44.30     0.691422       
10000     47.80     0.692074       
11000     45.50     0.690388       
12000     45.20     0.691593       
13000     46.10     0.692093       
14000     46.00     0.690322       
15000     49.90     0.694131       
16000     47.20     0.691817       
17000     45.70     0.690019       
18000     43.60     0.69043        
19000     46.80     0.691144       
20000     46.60     0.69152        
21000     46.00     0.691193       
22000     47.50     0.691879       
23000     45.00     0.691714       
24000     46.30     0.69082        
25000     45.60     0.690831       
26000     44.50     0.689293       
27000     48.70     0.693391       
28000     47.00     0.692251       
29000     47.30     0.692166       
30000     46.70     0.691088       
31000     47.80     0.693142       
32000     44.80     0.690358       
33000     47.10     0.69182        
34000     45.80     0.691229       
35000     45.80     0.690158       
36000     46.30     0.689504       
37000     45.60     0.688417       
38000     45.20     0.689217       
39000     46.40     0.688818       
40000     44.50     0.687613       
41000     46.70     0.691177       
42000     45.20     0.688213       
43000     44.40     0.68683        
44000     45.80     0.687225       
45000     45.20     0.689148       
46000     45.40     0.687359       
47000     44.70     0.688028       
48000     44.70     0.686492       
49000     44.70     0.687061       
50000     46.30     0.687689       
51000     43.90     0.685527       
52000     46.60     0.687721       
53000     44.20     0.68578        
54000     45.20     0.686898       
55000     45.80     0.687547       
56000     45.00     0.686001       
57000     44.10     0.685762       
58000     44.60     0.68675        
59000     44.70     0.68689        
60000     45.40     0.688355       
61000     46.10     0.685829       
62000     46.70     0.687662       
63000     44.20     0.685098       
64000     45.00     0.686743       
65000     45.20     0.68621        
66000     45.30     0.686983       
67000     45.20     0.685254       
68000     44.50     0.68541        
69000     46.30     0.685873       
70000     44.80     0.685481       
71000     45.80     0.686819       
72000     44.10     0.685663       
73000     46.20     0.687292       
74000     44.30     0.684716       
75000     45.30     0.684662       
76000     43.80     0.68281        
77000     45.50     0.684509       
78000     45.40     0.683806       
79000     44.80     0.68351        
80000     44.50     0.684404       
81000     47.40     0.685977       
82000     44.20     0.683798       
83000     44.50     0.685312       
84000     44.70     0.68596        
85000     46.40     0.68669        
86000     44.50     0.684872       
87000     45.40     0.686194       
88000     44.80     0.684163       
89000     46.10     0.685819       
90000     44.80     0.684049       
91000     44.60     0.684186       
92000     45.50     0.683039       
93000     44.40     0.683748       
94000     44.90     0.684087       
95000     46.40     0.685233       
96000     45.20     0.682912       
97000     44.20     0.683723       
98000     45.60     0.684392       
99000     44.00     0.682469       
100000    44.20     0.68398        
101000    44.30     0.683652       
102000    44.30     0.684468       
103000    46.10     0.684505       
104000    44.20     0.684554       
105000    43.40     0.682886       
106000    43.50     0.683343       
107000    44.50     0.683654       
108000    46.00     0.686255       
109000    45.00     0.684458       
110000    44.40     0.683019       
111000    44.50     0.683694       
112000    45.60     0.685775       
113000    43.90     0.682914       
114000    45.50     0.685077       
115000    44.90     0.684034       
116000    45.20     0.684039       
117000    44.70     0.683576       
118000    45.10     0.686293       
119000    45.90     0.684732       
120000    44.00     0.684276       
121000    45.80     0.685682       
122000    44.10     0.683527       
123000    43.60     0.682033       
124000    44.80     0.682369       
125000    45.10     0.685311       
126000    44.10     0.684249       
127000    44.30     0.68401        
128000    43.90     0.683244       
129000    44.70     0.683603       
130000    43.90     0.682862       
131000    43.80     0.684403       
132000    45.60     0.684267       
133000    44.40     0.683471       
134000    43.90     0.682034       
135000    43.60     0.680865       
136000    44.90     0.683719       
137000    44.20     0.683745       
138000    44.50     0.683495       
139000    46.80     0.68335        
140000    45.80     0.685063       
141000    44.80     0.684966       
142000    45.40     0.685017       
143000    44.80     0.68264        
144000    45.50     0.682315       
145000    44.80     0.683943       
146000    44.50     0.682884       
147000    44.20     0.683059       
148000    45.40     0.684974       
149000    45.50     0.684098       
150000    44.60     0.683492       
151000    45.90     0.684936       
152000    45.70     0.685722       
153000    44.70     0.683596       
154000    44.90     0.684074       
155000    43.50     0.683605       
156000    44.10     0.682748       
157000    45.20     0.684434       
158000    45.30     0.684325       
159000    44.30     0.681632       
160000    43.90     0.683852       
161000    44.80     0.682552       
162000    44.50     0.684463       
163000    44.70     0.683114       
164000    45.30     0.684629       
165000    47.00     0.684056       
166000    45.60     0.684751       
167000    45.10     0.684359       
168000    44.60     0.684371       
169000    45.30     0.685323       
170000    45.30     0.685304       
171000    45.20     0.682707       
172000    44.80     0.68427        
173000    44.10     0.682333       
174000    45.30     0.685807       
175000    45.60     0.683013       
176000    44.20     0.681521       
177000    44.30     0.682484       
178000    44.10     0.684419       
179000    44.90     0.683904       
180000    44.00     0.681869       
181000    43.20     0.682234       
182000    44.70     0.682694       
183000    44.60     0.683183       
184000    43.90     0.68237        
185000    44.60     0.685188       
186000    44.30     0.683706       
187000    44.10     0.682807       
188000    44.10     0.682658       
189000    44.90     0.68386        
190000    44.40     0.68506        
191000    44.80     0.685031       
192000    43.90     0.684522       
193000    44.10     0.683143       
194000    43.60     0.681891       
195000    43.40     0.6813         
196000    43.60     0.682743       
197000    44.80     0.682936       
198000    44.70     0.683169       
199000    43.20     0.682887       
200000    44.50     0.685299       
201000    43.40     0.68282        
202000    44.80     0.684627       
203000    43.90     0.682623       
