steps     error     softmax loss   
--------------------------------
1000      71.40     0.651426       
2000      68.30     0.640687       
3000      65.30     0.621226       
4000      63.80     0.602392       
5000      61.60     0.590733       
6000      60.50     0.573074       
7000      59.00     0.556686       
8000      57.80     0.538501       
9000      56.30     0.524462       
10000     55.40     0.508072       
11000     54.40     0.500351       
12000     54.30     0.493899       
13000     52.10     0.477523       
14000     52.70     0.47079        
15000     50.30     0.457243       
16000     50.80     0.450751       
17000     47.90     0.436442       
18000     47.50     0.43171        
19000     46.60     0.421446       
20000     46.30     0.414012       
21000     44.80     0.408755       
22000     43.90     0.397375       
23000     42.70     0.389848       
24000     41.40     0.383888       
25000     40.70     0.382398       
26000     39.80     0.372394       
27000     40.60     0.367801       
28000     38.20     0.35895        
29000     38.40     0.353814       
30000     37.40     0.351673       
31000     37.10     0.349407       
32000     37.20     0.345728       
33000     36.20     0.339881       
34000     36.00     0.335145       
35000     35.60     0.329329       
36000     35.40     0.326201       
37000     34.60     0.327027       
38000     35.50     0.324224       
39000     34.90     0.323818       
40000     34.10     0.320098       
41000     35.10     0.320624       
42000     34.50     0.31662        
43000     34.30     0.310433       
44000     34.50     0.308428       
45000     33.10     0.306552       
46000     32.40     0.302768       
47000     33.10     0.304418       
48000     32.30     0.297174       
49000     32.70     0.297099       
50000     32.90     0.297947       
51000     31.20     0.29717        
52000     32.80     0.2937         
53000     32.80     0.294911       
54000     33.80     0.295221       
55000     33.40     0.284969       
56000     32.70     0.287166       
57000     32.30     0.286075       
58000     31.60     0.279566       
59000     30.50     0.276113       
60000     32.10     0.281614       
61000     31.20     0.280025       
62000     31.20     0.277974       
63000     30.70     0.275939       
64000     30.00     0.277172       
65000     31.20     0.273978       
66000     30.10     0.270732       
67000     30.30     0.270379       
68000     30.30     0.27666        
69000     31.20     0.270838       
70000     28.80     0.268009       
71000     30.10     0.270391       
72000     28.60     0.266267       
73000     29.00     0.268613       
74000     29.40     0.261147       
75000     29.80     0.266239       
76000     28.60     0.264567       
77000     29.50     0.262936       
78000     28.70     0.257083       
79000     29.40     0.258654       
80000     29.00     0.254051       
81000     29.30     0.253183       
82000     28.50     0.253224       
83000     27.90     0.252011       
84000     27.80     0.250614       
85000     28.00     0.250979       
86000     28.60     0.249644       
87000     27.90     0.252456       
88000     28.50     0.249973       
