steps     error     softmax loss   
--------------------------------
1000      44.60     0.689973       
2000      49.00     0.692499       
3000      47.80     0.692356       
4000      48.90     0.692564       
5000      47.20     0.691912       
6000      48.60     0.691367       
7000      48.40     0.691041       
8000      49.20     0.692222       
9000      49.30     0.693487       
10000     47.90     0.691753       
11000     47.70     0.691335       
12000     48.80     0.691564       
13000     48.10     0.691455       
14000     49.80     0.692227       
15000     46.70     0.691711       
16000     51.30     0.693574       
17000     47.70     0.692723       
18000     46.70     0.692017       
19000     47.50     0.692279       
20000     46.30     0.691274       
21000     46.20     0.690922       
22000     47.00     0.69284        
23000     45.20     0.690345       
24000     47.10     0.691243       
25000     46.50     0.691226       
26000     46.50     0.691869       
27000     46.80     0.693082       
28000     47.50     0.694524       
29000     46.20     0.692966       
30000     48.20     0.692149       
31000     47.20     0.692747       
32000     46.70     0.692854       
33000     49.00     0.692945       
34000     47.10     0.692227       
35000     46.40     0.691613       
36000     47.10     0.691655       
37000     48.20     0.691311       
38000     48.20     0.691284       
39000     48.00     0.691913       
40000     47.50     0.68973        
41000     46.70     0.688808       
42000     45.70     0.688299       
43000     46.80     0.689043       
44000     45.80     0.689054       
45000     47.40     0.687746       
46000     47.10     0.688524       
47000     47.30     0.690167       
48000     46.00     0.687941       
49000     44.90     0.687256       
50000     46.40     0.687394       
51000     46.60     0.688076       
52000     46.10     0.687732       
53000     47.00     0.688552       
54000     45.20     0.688246       
55000     44.80     0.686698       
56000     45.50     0.686475       
57000     44.60     0.685199       
58000     45.00     0.687536       
59000     44.50     0.686425       
60000     45.70     0.686426       
61000     46.00     0.687341       
62000     45.00     0.684046       
63000     47.30     0.687228       
64000     46.40     0.687878       
65000     46.00     0.68609        
66000     45.30     0.685751       
67000     44.40     0.686779       
68000     44.60     0.685402       
69000     46.00     0.685965       
70000     47.00     0.687083       
71000     43.60     0.684983       
72000     45.20     0.684553       
73000     44.40     0.684544       
74000     45.30     0.68385        
75000     44.70     0.685039       
76000     44.50     0.684622       
77000     45.70     0.685511       
78000     44.80     0.686121       
79000     48.40     0.686636       
80000     45.70     0.68715        
81000     44.90     0.684915       
82000     44.40     0.685962       
83000     45.50     0.686157       
84000     44.20     0.684926       
85000     47.10     0.685506       
86000     45.40     0.683988       
87000     48.60     0.688078       
88000     45.50     0.685542       
89000     44.70     0.68456        
90000     44.30     0.685271       
91000     46.80     0.68628        
92000     45.20     0.685629       
93000     45.00     0.683718       
94000     46.60     0.684982       
95000     43.20     0.683102       
96000     44.70     0.684367       
97000     43.80     0.684025       
98000     43.90     0.684817       
99000     44.40     0.684707       
100000    45.40     0.683778       
101000    43.60     0.682608       
102000    44.10     0.684417       
103000    44.50     0.684698       
104000    45.40     0.685218       
105000    46.00     0.685079       
106000    44.60     0.684812       
107000    44.60     0.683273       
108000    44.10     0.683197       
109000    45.60     0.68343        
110000    46.00     0.684958       
