steps     error     softmax loss   
--------------------------------
1000      47.10     0.690893       
2000      47.00     0.691447       
3000      47.90     0.691759       
4000      46.50     0.692131       
5000      48.30     0.69161        
6000      47.80     0.691984       
7000      47.30     0.691926       
8000      46.40     0.691556       
9000      46.00     0.691623       
10000     45.90     0.691266       
11000     47.90     0.690996       
12000     46.70     0.691073       
13000     47.70     0.691239       
14000     48.60     0.6925         
15000     45.70     0.693092       
16000     50.40     0.692997       
17000     48.90     0.691798       
18000     45.80     0.690863       
19000     45.90     0.689563       
20000     46.50     0.691434       
21000     47.20     0.690992       
22000     46.50     0.692504       
23000     44.40     0.6899         
24000     44.50     0.689802       
25000     44.50     0.690459       
26000     44.80     0.689189       
27000     45.80     0.690587       
28000     46.70     0.691877       
29000     46.60     0.691726       
30000     46.20     0.690642       
31000     47.20     0.691426       
32000     45.70     0.690466       
33000     48.50     0.692385       
34000     48.20     0.691374       
35000     48.00     0.691778       
36000     45.60     0.690788       
37000     45.60     0.689404       
38000     46.00     0.689431       
39000     45.90     0.688907       
40000     47.40     0.688748       
41000     46.50     0.688116       
42000     45.10     0.685998       
43000     46.70     0.688577       
44000     46.40     0.686294       
45000     47.50     0.688466       
46000     46.50     0.687553       
47000     45.70     0.685836       
48000     46.80     0.688587       
49000     46.60     0.687684       
50000     46.70     0.687818       
51000     44.60     0.686103       
52000     47.00     0.688263       
53000     46.50     0.686653       
54000     45.70     0.686296       
55000     45.50     0.685486       
56000     46.40     0.687014       
57000     46.60     0.687351       
58000     46.90     0.687743       
59000     46.60     0.68665        
60000     45.30     0.683782       
61000     44.80     0.684805       
62000     46.00     0.686386       
63000     44.90     0.687207       
64000     44.90     0.685541       
65000     44.70     0.683887       
66000     44.40     0.685521       
67000     45.40     0.685738       
68000     45.10     0.684402       
69000     44.00     0.685023       
70000     44.00     0.682539       
71000     44.50     0.685563       
72000     44.30     0.685867       
73000     46.10     0.685482       
74000     44.90     0.683573       
75000     44.10     0.683302       
76000     43.80     0.684358       
77000     43.10     0.683343       
78000     43.40     0.684056       
79000     43.20     0.682329       
80000     43.50     0.683462       
81000     45.10     0.683985       
82000     44.40     0.682345       
83000     47.90     0.685967       
84000     43.20     0.684907       
85000     43.10     0.681423       
86000     43.20     0.684465       
87000     46.30     0.685005       
88000     44.70     0.683477       
89000     45.00     0.68397        
90000     44.60     0.684561       
91000     44.30     0.683694       
92000     45.10     0.686481       
93000     44.90     0.684624       
94000     45.60     0.682675       
95000     45.40     0.684706       
96000     44.40     0.68341        
97000     45.90     0.686338       
98000     43.60     0.683101       
99000     43.80     0.683918       
100000    44.20     0.683696       
101000    44.70     0.683559       
102000    44.30     0.68307        
103000    46.60     0.684928       
104000    45.40     0.681945       
105000    44.30     0.682518       
106000    43.60     0.68443        
107000    44.90     0.685494       
108000    43.80     0.684472       
109000    44.10     0.684155       
110000    45.00     0.684455       
111000    44.60     0.683594       
112000    45.00     0.684033       
113000    45.20     0.684687       
114000    44.70     0.682768       
115000    43.40     0.682859       
116000    45.90     0.684537       
117000    45.30     0.685012       
118000    43.30     0.682738       
119000    43.80     0.683131       
120000    43.70     0.684402       
121000    45.60     0.685012       
122000    46.30     0.684835       
123000    44.80     0.684434       
124000    43.70     0.684477       
125000    45.20     0.683233       
126000    43.50     0.683497       
127000    43.30     0.682187       
128000    43.70     0.683627       
129000    43.80     0.684812       
130000    44.30     0.682574       
131000    43.40     0.682428       
132000    43.80     0.682363       
133000    43.00     0.683966       
134000    45.40     0.683233       
135000    43.90     0.682518       
136000    46.10     0.685547       
137000    43.90     0.682497       
138000    43.80     0.683789       
139000    46.20     0.685436       
140000    45.30     0.685246       
141000    45.60     0.685267       
142000    45.00     0.685023       
143000    43.00     0.683599       
144000    43.60     0.68339        
145000    43.60     0.682683       
146000    43.50     0.683134       
147000    44.50     0.682714       
148000    45.10     0.682513       
149000    45.30     0.68388        
150000    45.00     0.684272       
151000    45.20     0.682263       
152000    45.10     0.68426        
153000    44.20     0.683273       
154000    45.30     0.684896       
155000    45.30     0.685377       
156000    45.80     0.684886       
157000    46.50     0.683678       
158000    43.90     0.683012       
159000    43.90     0.68171        
160000    44.70     0.684485       
161000    42.20     0.681468       
162000    44.50     0.683416       
163000    46.10     0.686029       
164000    43.20     0.681399       
165000    44.30     0.682331       
166000    46.30     0.683812       
167000    44.70     0.683314       
168000    45.50     0.683628       
169000    45.30     0.682157       
170000    43.20     0.681489       
171000    46.50     0.683271       
172000    43.80     0.683733       
173000    46.10     0.682343       
174000    46.20     0.684568       
175000    44.60     0.683742       
176000    44.60     0.683013       
177000    44.50     0.682133       
178000    45.70     0.682384       
179000    43.60     0.681217       
180000    44.30     0.682872       
181000    44.70     0.681946       
182000    45.80     0.682891       
183000    46.10     0.68154        
184000    44.20     0.681354       
185000    43.70     0.681491       
186000    46.40     0.68276        
187000    46.50     0.682317       
188000    44.10     0.680218       
189000    46.10     0.681715       
190000    45.00     0.682443       
191000    44.90     0.683162       
192000    45.40     0.681611       
193000    44.80     0.680967       
194000    44.30     0.681465       
195000    45.60     0.683891       
196000    43.40     0.681485       
197000    45.90     0.680397       
198000    43.70     0.679725       
199000    43.50     0.678739       
200000    44.10     0.681512       
201000    43.10     0.680147       
202000    45.40     0.681159       
203000    44.10     0.680391       
204000    44.20     0.681643       
205000    45.30     0.680838       
206000    43.50     0.681613       
207000    44.40     0.681344       
208000    44.80     0.681998       
209000    45.30     0.681568       
210000    45.40     0.682599       
211000    44.00     0.682087       
212000    45.30     0.682667       
213000    46.40     0.6824         
214000    43.40     0.680052       
215000    44.80     0.681187       
