steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      49.00     0.691135       0.0079935        1.00 / 1.20 / 0.40 / 2.00     
2000      47.00     0.691124       0.00740255       1.00 / 1.26 / 0.44 / 2.00     
3000      48.50     0.691925       0.00770101       1.00 / 1.23 / 0.42 / 2.00     
4000      49.20     0.693138       0.00664867       1.00 / 1.34 / 0.47 / 2.00     
5000      47.30     0.692534       0.00837038       1.00 / 1.17 / 0.38 / 3.00     
6000      48.30     0.691233       0.00822655       1.00 / 1.18 / 0.38 / 2.00     
7000      46.90     0.691549       0.00810788       1.00 / 1.19 / 0.39 / 2.00     
8000      45.50     0.690962       0.00875162       1.00 / 1.13 / 0.33 / 2.00     
9000      48.90     0.692483       0.00780696       1.00 / 1.23 / 0.42 / 3.00     
10000     45.40     0.690618       0.00934911       1.00 / 1.11 / 0.44 / 4.00     
11000     44.40     0.691558       0.00913339       1.00 / 1.09 / 0.28 / 2.00     
12000     48.00     0.690749       0.00918398       1.00 / 1.16 / 0.56 / 6.00     
13000     46.30     0.691858       0.00868372       1.00 / 1.17 / 0.50 / 4.00     
14000     48.00     0.691592       0.00895847       1.00 / 1.12 / 0.38 / 4.00     
15000     44.20     0.690236       0.00843658       1.00 / 1.31 / 0.79 / 7.00     
16000     47.00     0.691776       0.00973567       1.00 / 1.04 / 0.28 / 3.00     
17000     46.60     0.690723       0.00989154       1.00 / 1.01 / 0.13 / 3.00     
18000     47.70     0.693662       0.00975453       1.00 / 1.04 / 0.31 / 4.00     
19000     46.90     0.691625       0.00966042       1.00 / 1.05 / 0.27 / 3.00     
20000     47.60     0.694787       0.00885476       1.00 / 1.17 / 0.56 / 6.00     
21000     47.30     0.693277       0.00971559       1.00 / 1.04 / 0.23 / 3.00     
22000     48.80     0.692648       0.00977578       1.00 / 1.10 / 0.83 / 10.00    
23000     48.80     0.693584       0.00964638       1.00 / 1.10 / 0.82 / 10.00    
24000     49.40     0.69423        0.00935895       1.00 / 1.10 / 0.62 / 10.00    
25000     48.70     0.693337       0.00871865       1.00 / 1.32 / 1.31 / 10.00    
26000     48.80     0.693416       0.00952054       1.00 / 1.06 / 0.31 / 4.00     
27000     48.40     0.693732       0.00967482       1.00 / 1.06 / 0.54 / 10.00    
28000     48.60     0.694141       0.00899619       1.00 / 1.21 / 1.06 / 10.00    
29000     48.40     0.69278        0.00828676       1.00 / 1.21 / 0.60 / 10.00    
30000     47.70     0.691958       0.00810429       1.00 / 1.21 / 0.42 / 3.00     
31000     48.10     0.691462       0.00770613       1.00 / 1.25 / 0.46 / 3.00     
32000     46.50     0.690703       0.00747894       1.00 / 1.28 / 0.49 / 3.00     
33000     45.00     0.691058       0.00754282       1.00 / 1.29 / 0.54 / 3.00     
34000     46.10     0.690652       0.0078552        1.00 / 1.31 / 0.65 / 4.00     
35000     45.00     0.688146       0.00674485       1.00 / 1.41 / 0.63 / 4.00     
36000     43.30     0.687836       0.00730345       1.00 / 1.37 / 0.65 / 4.00     
37000     45.50     0.688287       0.00783646       1.00 / 1.28 / 0.57 / 3.00     
38000     46.30     0.688934       0.0077866        1.00 / 1.53 / 1.57 / 10.00    
39000     44.30     0.686136       0.00746653       1.00 / 1.39 / 0.96 / 10.00    
40000     45.70     0.687775       0.00669541       1.00 / 1.45 / 0.69 / 4.00     
41000     45.80     0.686514       0.00729633       1.00 / 1.37 / 0.68 / 8.00     
42000     44.30     0.685854       0.00682153       1.00 / 1.42 / 0.65 / 3.00     
43000     43.50     0.683188       0.00721366       1.00 / 1.37 / 0.64 / 4.00     
44000     44.20     0.683913       0.00696895       1.00 / 1.42 / 0.68 / 3.00     
45000     44.90     0.683683       0.00698387       1.00 / 1.41 / 0.66 / 3.00     
46000     43.20     0.682401       0.00751214       1.00 / 1.34 / 0.62 / 3.00     
47000     42.70     0.682421       0.00670144       1.00 / 1.45 / 0.68 / 3.00     
48000     43.70     0.683294       0.00647446       1.00 / 1.49 / 0.71 / 3.00     
49000     41.80     0.681286       0.00743846       1.00 / 1.36 / 0.66 / 3.00     
50000     44.00     0.682067       0.00719846       1.00 / 1.36 / 0.61 / 3.00     
51000     44.60     0.685214       0.0071767        1.00 / 1.39 / 0.66 / 3.00     
52000     43.40     0.681775       0.0073603        1.00 / 1.35 / 0.63 / 3.00     
53000     47.30     0.685371       0.00668961       1.00 / 1.40 / 0.59 / 3.00     
54000     44.10     0.681969       0.0064437        1.00 / 1.40 / 0.54 / 3.00     
55000     42.10     0.680126       0.00650031       1.00 / 1.38 / 0.52 / 3.00     
56000     44.20     0.683393       0.00620803       1.00 / 1.40 / 0.50 / 3.00     
57000     44.70     0.680766       0.00649368       1.00 / 1.36 / 0.48 / 2.00     
58000     43.70     0.68125        0.00630315       1.00 / 1.39 / 0.49 / 3.00     
59000     43.60     0.680969       0.00605464       1.00 / 1.42 / 0.50 / 3.00     
60000     44.10     0.681317       0.0068381        1.00 / 1.33 / 0.47 / 3.00     
61000     44.90     0.684054       0.00612834       1.00 / 1.41 / 0.49 / 2.00     
62000     45.10     0.680868       0.00654436       1.00 / 1.36 / 0.48 / 2.00     
63000     42.50     0.679983       0.00673684       1.00 / 1.34 / 0.47 / 2.00     
64000     43.90     0.680473       0.0063581        1.00 / 1.39 / 0.49 / 2.00     
65000     43.00     0.681348       0.00648612       1.00 / 1.37 / 0.48 / 2.00     
66000     44.70     0.682263       0.00662126       1.00 / 1.36 / 0.48 / 3.00     
67000     42.60     0.681214       0.00666281       1.00 / 1.36 / 0.48 / 2.00     
68000     42.60     0.679405       0.0064286        1.00 / 1.38 / 0.49 / 2.00     
69000     43.60     0.681187       0.00656925       1.00 / 1.37 / 0.48 / 2.00     
70000     42.80     0.680375       0.00688158       1.00 / 1.33 / 0.47 / 2.00     
71000     44.70     0.68152        0.00664618       1.00 / 1.36 / 0.48 / 2.00     
72000     45.40     0.682626       0.0069975        1.00 / 1.32 / 0.47 / 2.00     
73000     44.30     0.682511       0.00664473       1.00 / 1.36 / 0.48 / 2.00     
74000     45.00     0.682228       0.00677752       1.00 / 1.35 / 0.48 / 2.00     
75000     44.30     0.681592       0.0066948        1.00 / 1.37 / 0.50 / 3.00     
76000     42.50     0.680332       0.00682676       1.00 / 1.34 / 0.47 / 2.00     
77000     45.40     0.684142       0.00666328       1.00 / 1.36 / 0.48 / 2.00     
78000     44.20     0.681756       0.00675982       1.00 / 1.35 / 0.48 / 2.00     
79000     44.80     0.682407       0.0069206        1.00 / 1.33 / 0.47 / 2.00     
80000     45.20     0.682747       0.00669239       1.00 / 1.35 / 0.48 / 2.00     
81000     44.80     0.682909       0.00651819       1.00 / 1.38 / 0.49 / 2.00     
82000     44.50     0.684464       0.00608129       1.00 / 1.42 / 0.49 / 2.00     
83000     45.70     0.684098       0.0061266        1.00 / 1.42 / 0.49 / 2.00     
84000     44.70     0.682092       0.00631869       1.00 / 1.40 / 0.49 / 2.00     
85000     46.00     0.683454       0.00602765       1.00 / 1.43 / 0.50 / 2.00     
86000     43.90     0.682079       0.00608842       1.00 / 1.42 / 0.49 / 2.00     
87000     44.50     0.683822       0.00619798       1.00 / 1.41 / 0.49 / 2.00     
88000     43.60     0.681696       0.00570599       1.00 / 1.47 / 0.50 / 2.00     
89000     43.60     0.680578       0.00589985       1.00 / 1.44 / 0.50 / 2.00     
90000     43.70     0.680778       0.00588816       1.00 / 1.45 / 0.50 / 2.00     
91000     46.70     0.685037       0.00571886       1.00 / 1.46 / 0.50 / 2.00     
92000     45.50     0.683545       0.00569188       1.00 / 1.47 / 0.50 / 2.00     
93000     42.90     0.680425       0.0056201        1.00 / 1.47 / 0.50 / 2.00     
94000     45.00     0.683608       0.00566827       1.00 / 1.47 / 0.50 / 2.00     
95000     45.10     0.681895       0.00553364       1.00 / 1.48 / 0.50 / 2.00     
96000     43.10     0.679051       0.00551183       1.00 / 1.49 / 0.50 / 2.00     
97000     42.70     0.67867        0.00549848       1.00 / 1.49 / 0.50 / 2.00     
98000     43.50     0.679893       0.00540217       1.00 / 1.50 / 0.50 / 2.00     
99000     45.40     0.681362       0.00535339       1.00 / 1.50 / 0.50 / 2.00     
100000    43.60     0.680701       0.00512111       1.00 / 1.53 / 0.50 / 2.00     
101000    43.60     0.67886        0.0051575        1.00 / 1.52 / 0.50 / 2.00     
102000    44.10     0.682152       0.00528788       1.00 / 1.50 / 0.50 / 2.00     
103000    44.90     0.682794       0.00517415       1.00 / 1.52 / 0.50 / 2.00     
104000    44.60     0.68111        0.00500474       1.00 / 1.54 / 0.50 / 2.00     
105000    44.30     0.681345       0.00507374       1.00 / 1.53 / 0.50 / 2.00     
106000    43.20     0.680898       0.00507089       1.00 / 1.53 / 0.50 / 2.00     
107000    44.00     0.682123       0.00494022       1.00 / 1.54 / 0.50 / 2.00     
108000    43.40     0.680086       0.00491226       1.00 / 1.55 / 0.50 / 2.00     
109000    43.60     0.680375       0.00489052       1.00 / 1.55 / 0.50 / 2.00     
110000    42.90     0.679928       0.00505027       1.00 / 1.53 / 0.50 / 2.00     
111000    42.10     0.678345       0.00496044       1.00 / 1.54 / 0.50 / 2.00     
112000    42.80     0.681024       0.0051           1.00 / 1.53 / 0.50 / 2.00     
113000    43.80     0.679113       0.0048888        1.00 / 1.55 / 0.50 / 2.00     
114000    43.00     0.680027       0.00500053       1.00 / 1.53 / 0.50 / 2.00     
115000    42.80     0.67844        0.00490272       1.00 / 1.55 / 0.50 / 2.00     
116000    43.30     0.679308       0.00481976       1.00 / 1.55 / 0.50 / 2.00     
117000    44.90     0.680037       0.0049084        1.00 / 1.54 / 0.50 / 2.00     
118000    43.20     0.679609       0.00484112       1.00 / 1.55 / 0.50 / 2.00     
119000    42.30     0.677902       0.00480411       1.00 / 1.55 / 0.50 / 2.00     
120000    42.60     0.679551       0.00480129       1.00 / 1.56 / 0.50 / 2.00     
121000    43.80     0.679826       0.00491141       1.00 / 1.54 / 0.50 / 2.00     
122000    44.90     0.68066        0.00482832       1.00 / 1.55 / 0.50 / 2.00     
123000    44.20     0.679359       0.00483544       1.00 / 1.55 / 0.50 / 2.00     
124000    43.10     0.679482       0.00490812       1.00 / 1.54 / 0.50 / 2.00     
125000    41.90     0.682351       0.00477157       1.00 / 1.56 / 0.50 / 2.00     
126000    43.70     0.679047       0.00485885       1.00 / 1.55 / 0.50 / 2.00     
127000    44.10     0.680668       0.00478708       1.00 / 1.55 / 0.50 / 2.00     
128000    41.70     0.680797       0.00481941       1.00 / 1.55 / 0.50 / 2.00     
129000    43.00     0.677862       0.00500728       1.00 / 1.53 / 0.50 / 2.00     
