steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      70.30     0.650212       0.0232769        1.00 / 1.24 / 0.43 / 2.00     
2000      70.30     0.641735       0.0285563        1.00 / 1.06 / 0.24 / 2.00     
3000      66.40     0.623626       0.0289101        1.00 / 1.05 / 0.21 / 2.00     
4000      62.40     0.609791       0.028783         1.00 / 1.05 / 0.22 / 2.00     
5000      63.20     0.598944       0.0286256        1.00 / 1.06 / 0.23 / 2.00     
6000      61.00     0.576966       0.0289691        1.00 / 1.05 / 0.21 / 2.00     
7000      59.20     0.562722       0.0291278        1.00 / 1.04 / 0.20 / 2.00     
8000      59.30     0.551927       0.0298467        1.00 / 1.02 / 0.13 / 2.00     
9000      58.50     0.531973       0.029453         1.00 / 1.03 / 0.17 / 2.00     
10000     56.50     0.521673       0.0293197        1.00 / 1.03 / 0.18 / 2.00     
11000     54.40     0.506548       0.0272031        1.00 / 1.16 / 0.77 / 10.00    
12000     54.50     0.489873       0.0269842        1.00 / 1.21 / 0.96 / 10.00    
13000     54.00     0.48771        0.0282604        1.00 / 1.10 / 0.41 / 6.00     
14000     50.30     0.469627       0.0277348        1.00 / 1.12 / 0.46 / 7.00     
15000     49.00     0.457838       0.0274211        1.00 / 1.15 / 0.55 / 10.00    
16000     49.50     0.450981       0.0281903        1.00 / 1.11 / 0.40 / 4.00     
17000     47.10     0.433964       0.0282067        1.00 / 1.12 / 0.43 / 5.00     
18000     46.00     0.431748       0.0281177        1.00 / 1.13 / 0.50 / 10.00    
19000     46.20     0.420789       0.0280837        1.00 / 1.14 / 0.47 / 5.00     
20000     46.00     0.414631       0.0272775        1.00 / 1.19 / 0.59 / 10.00    
21000     42.40     0.402284       0.0279693        1.00 / 1.15 / 0.50 / 10.00    
22000     42.70     0.393765       0.0276114        1.00 / 1.18 / 0.56 / 10.00    
23000     43.20     0.392384       0.0280949        1.00 / 1.15 / 0.52 / 10.00    
24000     42.90     0.384668       0.0278073        1.00 / 1.17 / 0.52 / 10.00    
25000     40.80     0.376525       0.028189         1.00 / 1.14 / 0.51 / 10.00    
26000     42.20     0.377899       0.0277612        1.00 / 1.17 / 0.52 / 8.00     
27000     40.70     0.365739       0.0283291        1.00 / 1.13 / 0.45 / 7.00     
28000     41.50     0.365055       0.0277697        1.00 / 1.16 / 0.50 / 7.00     
29000     39.60     0.364531       0.0272603        1.00 / 1.19 / 0.53 / 8.00     
30000     38.50     0.353869       0.0272023        1.00 / 1.20 / 0.58 / 10.00    
31000     39.80     0.351295       0.0272413        1.00 / 1.19 / 0.54 / 10.00    
32000     38.70     0.347837       0.0274853        1.00 / 1.17 / 0.49 / 5.00     
33000     37.50     0.337947       0.0273602        1.00 / 1.19 / 0.53 / 8.00     
34000     38.20     0.33954        0.0271083        1.00 / 1.19 / 0.53 / 10.00    
35000     36.50     0.331686       0.0268081        1.00 / 1.21 / 0.54 / 10.00    
36000     36.30     0.332931       0.027581         1.00 / 1.16 / 0.48 / 10.00    
37000     36.70     0.331258       0.0266155        1.00 / 1.22 / 0.58 / 10.00    
38000     35.30     0.325894       0.0267952        1.00 / 1.20 / 0.50 / 8.00     
39000     35.10     0.324089       0.0265667        1.00 / 1.22 / 0.62 / 10.00    
40000     34.90     0.322142       0.0262943        1.00 / 1.23 / 0.54 / 10.00    
41000     33.40     0.318409       0.026135         1.00 / 1.24 / 0.61 / 10.00    
42000     34.10     0.317252       0.0268212        1.00 / 1.20 / 0.48 / 10.00    
43000     35.40     0.317524       0.0261332        1.00 / 1.23 / 0.57 / 10.00    
44000     33.00     0.304418       0.0262491        1.00 / 1.22 / 0.51 / 10.00    
45000     32.80     0.305161       0.0257015        1.00 / 1.25 / 0.60 / 10.00    
46000     33.60     0.303197       0.0259431        1.00 / 1.24 / 0.54 / 9.00     
47000     33.60     0.304202       0.0257196        1.00 / 1.25 / 0.55 / 10.00    
48000     33.00     0.296986       0.0251748        1.00 / 1.26 / 0.54 / 10.00    
49000     32.70     0.297973       0.0247999        1.00 / 1.29 / 0.64 / 10.00    
50000     32.10     0.291588       0.0252356        1.00 / 1.26 / 0.52 / 5.00     
51000     32.50     0.293361       0.0250464        1.00 / 1.27 / 0.57 / 9.00     
52000     32.60     0.289253       0.0241324        1.00 / 1.32 / 0.61 / 9.00     
53000     33.60     0.286314       0.0250093        1.00 / 1.27 / 0.52 / 5.00     
54000     33.20     0.288905       0.0247709        1.00 / 1.30 / 0.68 / 10.00    
55000     32.20     0.284511       0.0242331        1.00 / 1.31 / 0.60 / 8.00     
56000     31.70     0.28455        0.0245996        1.00 / 1.29 / 0.56 / 7.00     
57000     33.10     0.284457       0.0250837        1.00 / 1.28 / 0.58 / 10.00    
58000     32.00     0.2803         0.0247616        1.00 / 1.28 / 0.54 / 9.00     
59000     30.80     0.281294       0.0246604        1.00 / 1.29 / 0.55 / 7.00     
60000     30.20     0.280565       0.0250358        1.00 / 1.27 / 0.52 / 7.00     
61000     32.00     0.277531       0.0246071        1.00 / 1.29 / 0.53 / 5.00     
62000     31.10     0.273325       0.0250549        1.00 / 1.26 / 0.51 / 6.00     
63000     30.70     0.27329        0.0247708        1.00 / 1.28 / 0.53 / 10.00    
64000     30.00     0.269551       0.0245415        1.00 / 1.28 / 0.51 / 5.00     
65000     29.30     0.269779       0.0242914        1.00 / 1.31 / 0.58 / 8.00     
66000     30.00     0.269046       0.0245583        1.00 / 1.29 / 0.58 / 10.00    
67000     30.30     0.270581       0.0244122        1.00 / 1.30 / 0.55 / 10.00    
68000     30.00     0.267006       0.0243903        1.00 / 1.30 / 0.54 / 6.00     
69000     29.70     0.264508       0.0245182        1.00 / 1.29 / 0.51 / 5.00     
70000     29.70     0.265493       0.0244339        1.00 / 1.29 / 0.51 / 5.00     
71000     29.60     0.262746       0.0243167        1.00 / 1.31 / 0.56 / 7.00     
72000     30.60     0.267677       0.0247149        1.00 / 1.28 / 0.53 / 8.00     
73000     28.80     0.260058       0.0243652        1.00 / 1.30 / 0.56 / 8.00     
74000     28.70     0.262997       0.0246468        1.00 / 1.28 / 0.52 / 6.00     
75000     28.50     0.2626         0.0241618        1.00 / 1.32 / 0.58 / 7.00     
76000     28.30     0.259835       0.0247367        1.00 / 1.28 / 0.53 / 6.00     
77000     28.30     0.261393       0.0247436        1.00 / 1.30 / 0.57 / 7.00     
78000     28.80     0.257177       0.0247645        1.00 / 1.29 / 0.58 / 10.00    
79000     28.10     0.2548         0.024794         1.00 / 1.29 / 0.53 / 6.00     
80000     27.10     0.254059       0.0245987        1.00 / 1.30 / 0.57 / 7.00     
81000     28.00     0.256425       0.0239262        1.00 / 1.33 / 0.57 / 6.00     
82000     27.20     0.253347       0.0244602        1.00 / 1.29 / 0.52 / 5.00     
83000     27.40     0.247878       0.0247934        1.00 / 1.28 / 0.54 / 9.00     
84000     27.80     0.249007       0.0244752        1.00 / 1.30 / 0.54 / 8.00     
85000     26.00     0.24321        0.0244629        1.00 / 1.32 / 0.65 / 10.00    
86000     27.80     0.247004       0.0241716        1.00 / 1.33 / 0.66 / 10.00    
87000     27.00     0.245084       0.0248948        1.00 / 1.28 / 0.55 / 10.00    
88000     29.20     0.249965       0.025007         1.00 / 1.28 / 0.52 / 7.00     
89000     25.90     0.24197        0.0242233        1.00 / 1.31 / 0.57 / 10.00    
90000     27.00     0.242835       0.024943         1.00 / 1.27 / 0.51 / 6.00     
91000     26.00     0.237224       0.024775         1.00 / 1.29 / 0.57 / 9.00     
92000     25.90     0.241218       0.0250585        1.00 / 1.29 / 0.60 / 10.00    
93000     26.10     0.239678       0.0248203        1.00 / 1.29 / 0.56 / 10.00    
94000     27.50     0.238026       0.0248782        1.00 / 1.28 / 0.52 / 6.00     
95000     26.70     0.238709       0.0246293        1.00 / 1.31 / 0.58 / 10.00    
96000     26.90     0.234927       0.0245258        1.00 / 1.31 / 0.55 / 7.00     
97000     27.50     0.236905       0.0247995        1.00 / 1.30 / 0.53 / 5.00     
98000     26.50     0.239469       0.0249289        1.00 / 1.29 / 0.55 / 10.00    
99000     26.70     0.238251       0.0249358        1.00 / 1.28 / 0.53 / 7.00     
100000    26.90     0.233908       0.0248586        1.00 / 1.29 / 0.53 / 7.00     
101000    27.00     0.234008       0.0248423        1.00 / 1.30 / 0.54 / 7.00     
102000    27.00     0.233768       0.0250132        1.00 / 1.29 / 0.53 / 6.00     
103000    27.10     0.232586       0.0248315        1.00 / 1.30 / 0.54 / 8.00     
104000    28.10     0.233611       0.0250344        1.00 / 1.29 / 0.53 / 6.00     
105000    27.90     0.231963       0.0247726        1.00 / 1.30 / 0.53 / 6.00     
106000    27.80     0.23523        0.0246732        1.00 / 1.31 / 0.54 / 5.00     
107000    26.30     0.232266       0.0253654        1.00 / 1.27 / 0.50 / 4.00     
108000    26.40     0.227821       0.0248786        1.00 / 1.29 / 0.51 / 5.00     
109000    26.20     0.228154       0.0245747        1.00 / 1.31 / 0.53 / 5.00     
110000    24.40     0.225277       0.0242695        1.00 / 1.32 / 0.53 / 6.00     
111000    24.90     0.223964       0.024507         1.00 / 1.30 / 0.52 / 6.00     
112000    25.90     0.228258       0.0248248        1.00 / 1.30 / 0.52 / 5.00     
113000    26.60     0.225903       0.0245345        1.00 / 1.31 / 0.53 / 5.00     
114000    26.40     0.22885        0.0245455        1.00 / 1.31 / 0.54 / 5.00     
115000    26.10     0.222941       0.0246745        1.00 / 1.31 / 0.54 / 5.00     
116000    25.10     0.221021       0.0247686        1.00 / 1.31 / 0.54 / 5.00     
117000    26.10     0.223508       0.0250983        1.00 / 1.29 / 0.53 / 5.00     
118000    25.20     0.218585       0.0249997        1.00 / 1.29 / 0.52 / 6.00     
119000    25.40     0.218717       0.0247737        1.00 / 1.31 / 0.55 / 5.00     
120000    25.70     0.218798       0.0248145        1.00 / 1.31 / 0.55 / 6.00     
121000    26.40     0.223174       0.0252076        1.00 / 1.29 / 0.52 / 5.00     
122000    26.10     0.219033       0.025229         1.00 / 1.29 / 0.52 / 7.00     
123000    26.00     0.215778       0.0248944        1.00 / 1.31 / 0.56 / 7.00     
124000    26.00     0.220372       0.0253342        1.00 / 1.29 / 0.55 / 9.00     
125000    25.60     0.216357       0.0249971        1.00 / 1.31 / 0.58 / 10.00    
126000    26.50     0.214131       0.0254328        1.00 / 1.27 / 0.51 / 5.00     
127000    26.80     0.221065       0.0253913        1.00 / 1.28 / 0.51 / 5.00     
128000    26.10     0.215948       0.0249889        1.00 / 1.30 / 0.52 / 4.00     
129000    26.90     0.218429       0.0250611        1.00 / 1.29 / 0.51 / 4.00     
130000    24.60     0.209157       0.0250924        1.00 / 1.30 / 0.54 / 9.00     
131000    25.40     0.211843       0.0248222        1.00 / 1.31 / 0.55 / 9.00     
132000    24.30     0.210723       0.0249101        1.00 / 1.31 / 0.55 / 10.00    
133000    25.20     0.209935       0.0250891        1.00 / 1.29 / 0.53 / 10.00    
134000    24.50     0.210756       0.0248928        1.00 / 1.30 / 0.52 / 4.00     
135000    24.50     0.213441       0.0248143        1.00 / 1.31 / 0.52 / 6.00     
136000    23.20     0.207774       0.0248472        1.00 / 1.32 / 0.57 / 10.00    
137000    23.50     0.203612       0.0250142        1.00 / 1.30 / 0.53 / 6.00     
138000    24.20     0.204932       0.0246584        1.00 / 1.32 / 0.54 / 5.00     
139000    23.60     0.206032       0.0247206        1.00 / 1.32 / 0.54 / 5.00     
140000    23.90     0.20177        0.0253172        1.00 / 1.29 / 0.53 / 8.00     
141000    21.80     0.204441       0.0246211        1.00 / 1.33 / 0.59 / 10.00    
142000    22.90     0.205343       0.0250421        1.00 / 1.30 / 0.53 / 5.00     
143000    23.50     0.205883       0.0251417        1.00 / 1.31 / 0.58 / 10.00    
144000    22.40     0.203612       0.0251301        1.00 / 1.31 / 0.57 / 8.00     
145000    22.90     0.20319        0.0255163        1.00 / 1.28 / 0.51 / 4.00     
146000    24.60     0.212334       0.0249883        1.00 / 1.32 / 0.58 / 10.00    
147000    24.10     0.208889       0.0251666        1.00 / 1.31 / 0.55 / 8.00     
148000    25.20     0.206888       0.0256866        1.00 / 1.27 / 0.49 / 4.00     
149000    22.80     0.203124       0.0250748        1.00 / 1.32 / 0.55 / 5.00     
150000    23.50     0.206808       0.0253201        1.00 / 1.30 / 0.53 / 5.00     
151000    22.50     0.198913       0.0255522        1.00 / 1.29 / 0.52 / 5.00     
152000    23.40     0.203085       0.0254141        1.00 / 1.31 / 0.57 / 10.00    
153000    23.80     0.202152       0.0255185        1.00 / 1.29 / 0.54 / 7.00     
154000    22.90     0.204028       0.0255094        1.00 / 1.29 / 0.52 / 5.00     
155000    23.20     0.200778       0.025416         1.00 / 1.30 / 0.53 / 5.00     
156000    22.70     0.199867       0.0252957        1.00 / 1.31 / 0.55 / 5.00     
157000    23.00     0.199593       0.0257947        1.00 / 1.28 / 0.50 / 4.00     
158000    23.10     0.199051       0.0253617        1.00 / 1.31 / 0.56 / 8.00     
159000    22.60     0.192633       0.025335         1.00 / 1.30 / 0.55 / 6.00     
160000    22.00     0.194212       0.0254996        1.00 / 1.29 / 0.53 / 5.00     
161000    22.30     0.196215       0.0251995        1.00 / 1.31 / 0.59 / 10.00    
162000    22.10     0.195112       0.0252058        1.00 / 1.31 / 0.56 / 7.00     
163000    22.20     0.193237       0.0252523        1.00 / 1.31 / 0.58 / 10.00    
164000    22.50     0.194151       0.025162         1.00 / 1.33 / 0.66 / 10.00    
165000    22.30     0.19408        0.0256049        1.00 / 1.30 / 0.60 / 10.00    
166000    22.80     0.192382       0.0257227        1.00 / 1.30 / 0.62 / 10.00    
167000    21.60     0.190629       0.0254481        1.00 / 1.31 / 0.62 / 9.00     
168000    21.80     0.191013       0.0256499        1.00 / 1.30 / 0.59 / 10.00    
169000    21.80     0.191088       0.0259623        1.00 / 1.27 / 0.53 / 6.00     
170000    21.40     0.187826       0.0255876        1.00 / 1.30 / 0.60 / 10.00    
171000    21.40     0.190894       0.0257173        1.00 / 1.31 / 0.66 / 10.00    
172000    21.50     0.181829       0.0255357        1.00 / 1.31 / 0.62 / 10.00    
173000    21.80     0.182324       0.02526          1.00 / 1.34 / 0.70 / 10.00    
174000    21.20     0.183507       0.0252892        1.00 / 1.34 / 0.72 / 10.00    
175000    21.50     0.182874       0.0254742        1.00 / 1.32 / 0.71 / 10.00    
176000    21.10     0.18349        0.0256297        1.00 / 1.32 / 0.70 / 10.00    
177000    21.10     0.179533       0.0254714        1.00 / 1.32 / 0.72 / 10.00    
178000    21.80     0.180836       0.0252468        1.00 / 1.35 / 0.80 / 10.00    
179000    20.90     0.18546        0.0254169        1.00 / 1.32 / 0.70 / 10.00    
180000    20.70     0.18338        0.025359         1.00 / 1.34 / 0.75 / 10.00    
181000    20.70     0.184507       0.0254837        1.00 / 1.33 / 0.71 / 10.00    
182000    20.90     0.19025        0.02557          1.00 / 1.32 / 0.68 / 10.00    
183000    21.30     0.186027       0.0257278        1.00 / 1.32 / 0.70 / 10.00    
184000    20.10     0.184018       0.0258988        1.00 / 1.30 / 0.65 / 10.00    
185000    19.80     0.181137       0.0256138        1.00 / 1.33 / 0.72 / 10.00    
186000    20.10     0.179976       0.0256621        1.00 / 1.31 / 0.64 / 10.00    
187000    21.40     0.180722       0.0256283        1.00 / 1.33 / 0.71 / 10.00    
188000    20.20     0.178113       0.0257527        1.00 / 1.32 / 0.69 / 10.00    
189000    20.60     0.179174       0.0256822        1.00 / 1.33 / 0.71 / 10.00    
190000    20.50     0.181163       0.0259471        1.00 / 1.31 / 0.66 / 10.00    
191000    20.90     0.180012       0.0258363        1.00 / 1.31 / 0.66 / 10.00    
192000    20.60     0.176918       0.025812         1.00 / 1.31 / 0.64 / 10.00    
193000    20.90     0.172224       0.0256345        1.00 / 1.33 / 0.69 / 10.00    
194000    21.10     0.17807        0.0257599        1.00 / 1.31 / 0.68 / 10.00    
195000    20.10     0.178013       0.0256966        1.00 / 1.32 / 0.69 / 10.00    
196000    19.70     0.180075       0.0256117        1.00 / 1.32 / 0.65 / 10.00    
197000    19.90     0.181494       0.0254235        1.00 / 1.33 / 0.65 / 10.00    
198000    21.00     0.179304       0.0257081        1.00 / 1.31 / 0.61 / 8.00     
199000    20.40     0.18114        0.0258227        1.00 / 1.29 / 0.57 / 7.00     
200000    20.20     0.179101       0.0257178        1.00 / 1.31 / 0.62 / 9.00     
201000    20.80     0.179034       0.0257849        1.00 / 1.29 / 0.59 / 9.00     
202000    20.40     0.176311       0.0254437        1.00 / 1.33 / 0.67 / 10.00    
