steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      46.40     0.690103       0.00574437       1.00 / 1.43 / 0.50 / 2.00     
2000      50.90     0.69435        0.00547737       1.00 / 1.46 / 0.50 / 2.00     
3000      49.40     0.693346       0.00917947       1.00 / 1.08 / 0.28 / 2.00     
4000      49.50     0.692943       0.00875462       1.00 / 1.13 / 0.33 / 2.00     
5000      47.10     0.69177        0.00842913       1.00 / 1.16 / 0.37 / 2.00     
6000      49.40     0.690986       0.00932953       1.00 / 1.07 / 0.26 / 3.00     
7000      48.90     0.691497       0.00923965       1.00 / 1.08 / 0.27 / 2.00     
8000      47.30     0.692104       0.00958586       1.00 / 1.05 / 0.28 / 4.00     
9000      49.30     0.69303        0.00911103       1.00 / 1.11 / 0.36 / 3.00     
10000     49.10     0.691932       0.0077512        1.00 / 1.31 / 0.61 / 4.00     
11000     46.10     0.691393       0.00953708       1.00 / 1.05 / 0.23 / 4.00     
12000     48.50     0.69135        0.00943715       1.00 / 1.06 / 0.23 / 2.00     
13000     46.80     0.69144        0.00919244       1.00 / 1.08 / 0.27 / 2.00     
14000     50.40     0.691614       0.00849584       1.00 / 1.30 / 0.78 / 4.00     
15000     45.10     0.691395       0.00900399       1.00 / 1.10 / 0.31 / 3.00     
16000     48.20     0.692646       0.00885548       1.00 / 1.15 / 0.47 / 4.00     
17000     46.30     0.692127       0.00965471       1.00 / 1.05 / 0.31 / 4.00     
18000     45.80     0.691554       0.00983223       1.00 / 1.02 / 0.13 / 2.00     
19000     46.30     0.692131       0.00953776       1.00 / 1.05 / 0.21 / 2.00     
20000     45.10     0.690533       0.00926333       1.00 / 1.10 / 0.41 / 5.00     
21000     46.50     0.690079       0.009381         1.00 / 1.08 / 0.34 / 4.00     
22000     48.10     0.692128       0.00835256       1.00 / 1.17 / 0.39 / 3.00     
23000     45.90     0.689088       0.00843953       1.00 / 1.16 / 0.37 / 2.00     
24000     45.40     0.690706       0.00795243       1.00 / 1.22 / 0.44 / 3.00     
25000     46.00     0.691338       0.00652103       1.00 / 1.38 / 0.49 / 3.00     
26000     45.10     0.690757       0.00842675       1.00 / 1.33 / 0.85 / 5.00     
27000     46.20     0.691158       0.0092836        1.00 / 1.08 / 0.29 / 5.00     
28000     47.10     0.692002       0.0090684        1.00 / 1.10 / 0.35 / 5.00     
29000     46.10     0.69059        0.00828468       1.00 / 1.18 / 0.40 / 5.00     
30000     45.80     0.690291       0.00917504       1.00 / 1.09 / 0.31 / 5.00     
31000     47.10     0.690621       0.00733874       1.00 / 1.28 / 0.48 / 5.00     
32000     45.40     0.689533       0.00741621       1.00 / 1.31 / 0.62 / 6.00     
33000     46.70     0.69049        0.00900165       1.00 / 1.11 / 0.37 / 5.00     
34000     45.70     0.689831       0.00906907       1.00 / 1.09 / 0.29 / 2.00     
35000     44.40     0.689743       0.00809508       1.00 / 1.20 / 0.40 / 2.00     
36000     47.90     0.691071       0.00791583       1.00 / 1.23 / 0.47 / 6.00     
37000     48.50     0.691253       0.00721798       1.00 / 1.29 / 0.48 / 6.00     
38000     46.20     0.690686       0.00702587       1.00 / 1.40 / 0.82 / 6.00     
39000     46.80     0.692207       0.00623606       1.00 / 1.40 / 0.49 / 2.00     
40000     46.20     0.689368       0.00706011       1.00 / 1.31 / 0.46 / 2.00     
41000     47.60     0.688654       0.00656802       1.00 / 1.36 / 0.48 / 2.00     
42000     46.20     0.687243       0.0061582        1.00 / 1.41 / 0.49 / 2.00     
43000     45.50     0.687517       0.00660978       1.00 / 1.36 / 0.48 / 2.00     
44000     46.70     0.689683       0.00587035       1.00 / 1.45 / 0.50 / 2.00     
45000     47.70     0.687642       0.00649657       1.00 / 1.37 / 0.48 / 2.00     
46000     47.40     0.688977       0.00606796       1.00 / 1.43 / 0.49 / 2.00     
47000     47.00     0.6886         0.00651563       1.00 / 1.37 / 0.48 / 2.00     
48000     46.10     0.686406       0.00620513       1.00 / 1.41 / 0.49 / 2.00     
49000     46.00     0.685531       0.00641738       1.00 / 1.38 / 0.48 / 2.00     
50000     45.40     0.685533       0.00645813       1.00 / 1.37 / 0.48 / 2.00     
51000     47.00     0.685158       0.00658924       1.00 / 1.36 / 0.48 / 2.00     
52000     46.20     0.684686       0.0063886        1.00 / 1.39 / 0.49 / 2.00     
53000     46.10     0.686049       0.00664017       1.00 / 1.36 / 0.48 / 2.00     
54000     45.10     0.686037       0.00679307       1.00 / 1.34 / 0.47 / 2.00     
55000     46.20     0.685438       0.00634059       1.00 / 1.39 / 0.49 / 2.00     
56000     43.60     0.684908       0.00645414       1.00 / 1.38 / 0.48 / 2.00     
57000     44.30     0.68221        0.0063336        1.00 / 1.39 / 0.49 / 2.00     
58000     45.70     0.684479       0.0063311        1.00 / 1.39 / 0.49 / 2.00     
59000     44.20     0.683379       0.00697191       1.00 / 1.32 / 0.47 / 2.00     
60000     44.40     0.683552       0.00650721       1.00 / 1.37 / 0.48 / 2.00     
61000     44.70     0.682845       0.00633813       1.00 / 1.39 / 0.49 / 2.00     
62000     43.30     0.67986        0.00622258       1.00 / 1.40 / 0.49 / 2.00     
63000     45.00     0.682808       0.00622988       1.00 / 1.40 / 0.49 / 2.00     
64000     45.30     0.68366        0.00603016       1.00 / 1.42 / 0.49 / 2.00     
65000     44.60     0.681995       0.00641329       1.00 / 1.38 / 0.48 / 2.00     
66000     43.30     0.681935       0.00648811       1.00 / 1.37 / 0.48 / 2.00     
67000     43.70     0.682909       0.00653115       1.00 / 1.37 / 0.48 / 2.00     
68000     45.00     0.682432       0.00622856       1.00 / 1.40 / 0.49 / 2.00     
69000     44.30     0.681947       0.00609281       1.00 / 1.42 / 0.49 / 2.00     
70000     43.40     0.684326       0.00687235       1.00 / 1.33 / 0.47 / 2.00     
71000     44.80     0.680884       0.00637538       1.00 / 1.39 / 0.49 / 2.00     
72000     44.60     0.681875       0.00647541       1.00 / 1.37 / 0.48 / 2.00     
73000     45.00     0.680257       0.00655819       1.00 / 1.36 / 0.48 / 2.00     
74000     43.50     0.68134        0.00665852       1.00 / 1.36 / 0.48 / 2.00     
75000     44.60     0.682403       0.00631398       1.00 / 1.39 / 0.49 / 2.00     
76000     44.40     0.680285       0.00649504       1.00 / 1.37 / 0.48 / 2.00     
77000     45.50     0.682522       0.0069234        1.00 / 1.33 / 0.47 / 2.00     
78000     44.10     0.682736       0.00715881       1.00 / 1.30 / 0.46 / 2.00     
79000     45.70     0.683102       0.00676025       1.00 / 1.35 / 0.48 / 2.00     
80000     45.30     0.684106       0.00674909       1.00 / 1.34 / 0.48 / 2.00     
81000     44.40     0.683019       0.00660793       1.00 / 1.36 / 0.48 / 2.00     
82000     43.70     0.682631       0.00583939       1.00 / 1.44 / 0.50 / 2.00     
83000     44.50     0.683267       0.00592187       1.00 / 1.43 / 0.50 / 2.00     
84000     43.80     0.681398       0.00593441       1.00 / 1.43 / 0.49 / 2.00     
85000     45.10     0.680566       0.00523224       1.00 / 1.50 / 0.50 / 2.00     
86000     44.30     0.68128        0.00521519       1.00 / 1.50 / 0.50 / 2.00     
87000     45.30     0.684348       0.00475547       1.00 / 1.55 / 0.50 / 2.00     
88000     44.90     0.683042       0.00500643       1.00 / 1.52 / 0.50 / 2.00     
89000     45.20     0.681722       0.00498805       1.00 / 1.52 / 0.50 / 2.00     
90000     42.90     0.682093       0.00524318       1.00 / 1.50 / 0.50 / 2.00     
91000     43.20     0.680545       0.00522722       1.00 / 1.50 / 0.50 / 2.00     
92000     45.10     0.682009       0.00487088       1.00 / 1.53 / 0.50 / 2.00     
93000     43.60     0.681253       0.00509733       1.00 / 1.51 / 0.50 / 2.00     
94000     44.80     0.681659       0.00499463       1.00 / 1.52 / 0.50 / 2.00     
95000     43.00     0.679402       0.00511767       1.00 / 1.51 / 0.50 / 2.00     
96000     44.40     0.679789       0.00486585       1.00 / 1.54 / 0.50 / 2.00     
97000     43.70     0.679829       0.0052495        1.00 / 1.50 / 0.50 / 2.00     
98000     45.20     0.68226        0.00484508       1.00 / 1.54 / 0.50 / 2.00     
99000     44.80     0.683228       0.00517039       1.00 / 1.51 / 0.50 / 2.00     
100000    44.00     0.680415       0.00489225       1.00 / 1.53 / 0.50 / 2.00     
101000    45.50     0.681121       0.00521085       1.00 / 1.50 / 0.50 / 2.00     
102000    44.30     0.682716       0.00510689       1.00 / 1.51 / 0.50 / 2.00     
103000    45.30     0.682946       0.00476256       1.00 / 1.55 / 0.50 / 2.00     
104000    44.10     0.681804       0.00496655       1.00 / 1.53 / 0.50 / 2.00     
105000    43.30     0.681541       0.00472664       1.00 / 1.56 / 0.50 / 2.00     
106000    44.30     0.682391       0.00458703       1.00 / 1.58 / 0.49 / 2.00     
107000    43.90     0.680829       0.00475519       1.00 / 1.56 / 0.50 / 2.00     
108000    43.30     0.681934       0.00475902       1.00 / 1.56 / 0.50 / 2.00     
109000    43.50     0.68241        0.00481984       1.00 / 1.55 / 0.50 / 2.00     
110000    44.10     0.681735       0.00476315       1.00 / 1.56 / 0.50 / 2.00     
111000    42.80     0.679576       0.00484752       1.00 / 1.55 / 0.50 / 2.00     
112000    42.20     0.680371       0.00469979       1.00 / 1.58 / 0.49 / 2.00     
113000    44.30     0.681217       0.00460741       1.00 / 1.58 / 0.49 / 2.00     
114000    42.50     0.678206       0.00497155       1.00 / 1.55 / 0.50 / 2.00     
115000    43.20     0.679337       0.00476899       1.00 / 1.57 / 0.50 / 2.00     
116000    43.90     0.676797       0.00491255       1.00 / 1.55 / 0.50 / 3.00     
117000    42.60     0.68057        0.00476999       1.00 / 1.58 / 0.49 / 2.00     
118000    42.20     0.679477       0.00490717       1.00 / 1.56 / 0.50 / 2.00     
119000    42.30     0.677425       0.00501653       1.00 / 1.54 / 0.50 / 2.00     
120000    41.50     0.678077       0.00489703       1.00 / 1.56 / 0.50 / 2.00     
121000    43.80     0.679692       0.00487572       1.00 / 1.56 / 0.50 / 2.00     
122000    42.10     0.676895       0.00486452       1.00 / 1.57 / 0.50 / 2.00     
123000    42.70     0.678499       0.0050924        1.00 / 1.55 / 0.50 / 3.00     
124000    43.10     0.677579       0.0050081        1.00 / 1.56 / 0.50 / 3.00     
125000    43.10     0.676935       0.00507999       1.00 / 1.55 / 0.50 / 2.00     
126000    44.20     0.676293       0.00490974       1.00 / 1.57 / 0.50 / 2.00     
127000    42.00     0.677534       0.00495242       1.00 / 1.56 / 0.50 / 2.00     
128000    42.00     0.676144       0.00502912       1.00 / 1.56 / 0.50 / 2.00     
129000    42.50     0.675752       0.00501143       1.00 / 1.57 / 0.50 / 2.00     
130000    44.30     0.6772         0.00519885       1.00 / 1.54 / 0.50 / 2.00     
131000    43.80     0.677731       0.00515485       1.00 / 1.55 / 0.50 / 2.00     
132000    42.80     0.677255       0.0051051        1.00 / 1.56 / 0.50 / 2.00     
133000    41.60     0.67313        0.00503077       1.00 / 1.56 / 0.50 / 2.00     
134000    41.90     0.676059       0.00512633       1.00 / 1.56 / 0.50 / 2.00     
135000    42.30     0.675309       0.00514297       1.00 / 1.56 / 0.50 / 2.00     
136000    41.80     0.67601        0.00530623       1.00 / 1.54 / 0.50 / 2.00     
137000    42.00     0.673505       0.00514663       1.00 / 1.57 / 0.50 / 2.00     
138000    42.30     0.67474        0.00513994       1.00 / 1.56 / 0.50 / 2.00     
139000    43.80     0.678652       0.00494891       1.00 / 1.58 / 0.49 / 2.00     
140000    44.10     0.676862       0.00505595       1.00 / 1.58 / 0.49 / 2.00     
141000    44.00     0.673013       0.00506078       1.00 / 1.59 / 0.49 / 2.00     
142000    41.80     0.666558       0.00477034       1.00 / 1.63 / 0.49 / 3.00     
143000    44.20     0.672876       0.00459786       1.00 / 1.65 / 0.48 / 2.00     
144000    42.70     0.667464       0.00419537       1.00 / 1.70 / 0.46 / 3.00     
145000    42.60     0.663416       0.00389555       1.00 / 1.75 / 0.43 / 2.00     
146000    44.80     0.663405       0.00298986       1.00 / 1.84 / 0.37 / 3.00     
147000    43.00     0.656574       0.00215761       1.00 / 1.97 / 0.17 / 2.00     
148000    45.40     0.658895       0.00226445       1.00 / 1.98 / 0.14 / 2.00     
149000    40.60     0.647247       0.00219623       1.00 / 1.98 / 0.14 / 2.00     
150000    42.50     0.646716       0.00238797       1.00 / 1.98 / 0.14 / 2.00     
151000    42.50     0.643543       0.00248621       1.00 / 1.97 / 0.17 / 2.00     
152000    44.00     0.645583       0.00244814       1.00 / 1.97 / 0.16 / 2.00     
153000    45.20     0.647271       0.00249796       1.00 / 1.97 / 0.18 / 2.00     
154000    43.90     0.641188       0.00252747       1.00 / 1.96 / 0.19 / 2.00     
155000    45.70     0.650175       0.00270222       1.00 / 1.96 / 0.20 / 2.00     
156000    43.00     0.642409       0.00273151       1.00 / 1.96 / 0.20 / 2.00     
157000    43.90     0.636658       0.00296795       1.00 / 1.93 / 0.25 / 2.00     
158000    44.20     0.642453       0.00304922       1.00 / 1.92 / 0.27 / 2.00     
159000    43.20     0.627408       0.00339108       1.00 / 1.88 / 0.33 / 2.00     
160000    43.80     0.633465       0.00369436       1.00 / 1.85 / 0.36 / 2.00     
161000    41.50     0.621821       0.00404211       1.00 / 1.81 / 0.39 / 2.00     
162000    42.90     0.625479       0.00453132       1.00 / 1.76 / 0.43 / 2.00     
163000    45.10     0.62019        0.00489079       1.00 / 1.73 / 0.45 / 3.00     
164000    41.00     0.607817       0.00533641       1.00 / 1.67 / 0.47 / 2.00     
165000    41.20     0.610147       0.0055957        1.00 / 1.64 / 0.48 / 2.00     
166000    42.90     0.617286       0.00597066       1.00 / 1.61 / 0.49 / 3.00     
167000    42.50     0.602903       0.00623908       1.00 / 1.59 / 0.50 / 3.00     
168000    42.20     0.603356       0.00660613       1.00 / 1.56 / 0.52 / 3.00     
169000    42.10     0.593448       0.00680127       1.00 / 1.55 / 0.51 / 3.00     
170000    39.50     0.588248       0.00698238       1.00 / 1.53 / 0.52 / 3.00     
171000    38.30     0.586004       0.00722833       1.00 / 1.51 / 0.52 / 3.00     
172000    39.50     0.580006       0.00744013       1.00 / 1.49 / 0.52 / 3.00     
173000    39.80     0.573732       0.00758851       1.00 / 1.50 / 0.53 / 3.00     
174000    36.80     0.569141       0.00786622       1.00 / 1.46 / 0.53 / 3.00     
175000    36.60     0.553949       0.00787181       1.00 / 1.48 / 0.54 / 3.00     
176000    37.50     0.547183       0.00802201       1.00 / 1.49 / 0.54 / 3.00     
177000    33.80     0.53906        0.00790918       1.00 / 1.53 / 0.55 / 3.00     
