steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      50.50     0.693012       0.0918875        1.00 / 1.08 / 0.27 / 2.00     
2000      49.10     0.692916       0.0961409        1.00 / 1.04 / 0.19 / 2.00     
3000      48.00     0.693216       0.0897223        1.00 / 1.10 / 0.31 / 2.00     
4000      46.00     0.690982       0.0990112        1.00 / 1.01 / 0.10 / 2.00     
5000      47.50     0.692077       0.0998021        1.00 / 1.00 / 0.04 / 2.00     
6000      50.10     0.69329        0.0990113        1.00 / 1.01 / 0.10 / 2.00     
7000      49.40     0.694012       0.097133         1.00 / 1.03 / 0.17 / 2.00     
8000      46.10     0.691281       0.0998024        1.00 / 1.00 / 0.04 / 2.00     
9000      44.20     0.691495       0.0968376        1.00 / 1.03 / 0.18 / 2.00     
10000     46.90     0.691586       0.099407         1.00 / 1.01 / 0.08 / 2.00     
11000     47.00     0.690091       0.098321         1.00 / 1.02 / 0.13 / 2.00     
12000     46.40     0.691253       0.0980263        1.00 / 1.02 / 0.14 / 2.00     
13000     45.30     0.691717       0.0995066        1.00 / 1.00 / 0.07 / 2.00     
14000     44.80     0.690037       0.0999014        1.00 / 1.00 / 0.03 / 2.00     
15000     49.70     0.693644       0.0993083        1.00 / 1.01 / 0.08 / 2.00     
16000     47.10     0.691688       0.099407         1.00 / 1.01 / 0.08 / 2.00     
17000     45.00     0.689798       0.1              1.00 / 1.00 / 0.00 / 1.00     
18000     45.30     0.690087       0.0997032        1.00 / 1.00 / 0.05 / 2.00     
19000     45.30     0.691113       0.1              1.00 / 1.00 / 0.00 / 1.00     
20000     46.20     0.691302       0.1              1.00 / 1.00 / 0.00 / 1.00     
21000     45.30     0.691032       0.1              1.00 / 1.00 / 0.00 / 1.00     
22000     46.70     0.691726       0.1              1.00 / 1.00 / 0.00 / 1.00     
23000     46.20     0.691726       0.1              1.00 / 1.00 / 0.00 / 1.00     
24000     46.40     0.690981       0.1              1.00 / 1.00 / 0.00 / 1.00     
25000     45.10     0.691202       0.1              1.00 / 1.00 / 0.00 / 1.00     
26000     45.10     0.689768       0.1              1.00 / 1.00 / 0.00 / 1.00     
27000     47.70     0.693601       0.1              1.00 / 1.00 / 0.00 / 1.00     
28000     47.50     0.692747       0.1              1.00 / 1.00 / 0.00 / 1.00     
29000     46.60     0.69337        0.1              1.00 / 1.00 / 0.00 / 1.00     
30000     47.00     0.691989       0.1              1.00 / 1.00 / 0.00 / 1.00     
31000     48.20     0.693349       0.1              1.00 / 1.00 / 0.00 / 1.00     
32000     45.00     0.691342       0.1              1.00 / 1.00 / 0.00 / 1.00     
33000     45.90     0.693156       0.1              1.00 / 1.00 / 0.00 / 1.00     
34000     47.20     0.693025       0.1              1.00 / 1.00 / 0.00 / 1.00     
35000     47.20     0.692647       0.1              1.00 / 1.00 / 0.00 / 1.00     
36000     47.10     0.692437       0.1              1.00 / 1.00 / 0.00 / 1.00     
37000     46.20     0.691256       0.1              1.00 / 1.00 / 0.00 / 1.00     
38000     47.20     0.691012       0.1              1.00 / 1.00 / 0.00 / 1.00     
39000     48.30     0.690987       0.1              1.00 / 1.00 / 0.00 / 1.00     
40000     44.90     0.688832       0.1              1.00 / 1.00 / 0.00 / 1.00     
41000     47.40     0.691381       0.1              1.00 / 1.00 / 0.00 / 1.00     
42000     45.30     0.687877       0.1              1.00 / 1.00 / 0.00 / 1.00     
43000     44.10     0.685607       0.1              1.00 / 1.00 / 0.00 / 1.00     
44000     44.70     0.686108       0.1              1.00 / 1.00 / 0.00 / 1.00     
45000     44.80     0.687306       0.1              1.00 / 1.00 / 0.00 / 1.00     
46000     44.30     0.68473        0.0998022        1.00 / 1.00 / 0.04 / 2.00     
47000     43.60     0.684944       0.1              1.00 / 1.00 / 0.00 / 1.00     
48000     44.00     0.683137       0.1              1.00 / 1.00 / 0.00 / 1.00     
49000     44.50     0.684107       0.099901         1.00 / 1.00 / 0.03 / 2.00     
50000     45.40     0.685526       0.0999011        1.00 / 1.00 / 0.03 / 2.00     
51000     41.30     0.683078       0.1              1.00 / 1.00 / 0.00 / 1.00     
52000     46.00     0.68515        0.1              1.00 / 1.00 / 0.00 / 1.00     
53000     43.20     0.683267       0.1              1.00 / 1.00 / 0.00 / 1.00     
54000     45.60     0.684219       0.1              1.00 / 1.00 / 0.00 / 1.00     
55000     44.70     0.684716       0.0999016        1.00 / 1.00 / 0.03 / 2.00     
56000     43.30     0.682863       0.1              1.00 / 1.00 / 0.00 / 1.00     
57000     43.20     0.682859       0.1              1.00 / 1.00 / 0.00 / 1.00     
58000     43.80     0.684114       0.1              1.00 / 1.00 / 0.00 / 1.00     
59000     45.40     0.683684       0.1              1.00 / 1.00 / 0.00 / 1.00     
60000     45.80     0.685047       0.1              1.00 / 1.00 / 0.00 / 1.00     
61000     44.90     0.683103       0.1              1.00 / 1.00 / 0.00 / 1.00     
62000     45.30     0.68456        0.1              1.00 / 1.00 / 0.00 / 1.00     
63000     43.10     0.681664       0.1              1.00 / 1.00 / 0.00 / 1.00     
64000     43.90     0.683254       0.1              1.00 / 1.00 / 0.00 / 1.00     
65000     44.90     0.68392        0.1              1.00 / 1.00 / 0.00 / 1.00     
66000     44.80     0.683713       0.099901         1.00 / 1.00 / 0.03 / 2.00     
67000     43.60     0.682312       0.1              1.00 / 1.00 / 0.00 / 1.00     
68000     43.90     0.682408       0.1              1.00 / 1.00 / 0.00 / 1.00     
69000     44.90     0.683113       0.1              1.00 / 1.00 / 0.00 / 1.00     
70000     44.10     0.682756       0.1              1.00 / 1.00 / 0.00 / 1.00     
71000     44.70     0.683418       0.1              1.00 / 1.00 / 0.00 / 1.00     
72000     42.20     0.681783       0.1              1.00 / 1.00 / 0.00 / 1.00     
73000     45.00     0.684344       0.0993095        1.00 / 1.01 / 0.14 / 3.00     
74000     43.20     0.681571       0.1              1.00 / 1.00 / 0.00 / 1.00     
75000     44.10     0.681277       0.1              1.00 / 1.00 / 0.00 / 1.00     
76000     43.30     0.680245       0.1              1.00 / 1.00 / 0.00 / 1.00     
77000     45.00     0.682769       0.1              1.00 / 1.00 / 0.00 / 1.00     
78000     44.30     0.681998       0.1              1.00 / 1.00 / 0.00 / 1.00     
79000     43.90     0.681358       0.1              1.00 / 1.00 / 0.00 / 1.00     
80000     44.10     0.682431       0.1              1.00 / 1.00 / 0.00 / 1.00     
81000     46.50     0.683419       0.1              1.00 / 1.00 / 0.00 / 1.00     
82000     43.60     0.681499       0.1              1.00 / 1.00 / 0.00 / 1.00     
83000     43.70     0.681821       0.1              1.00 / 1.00 / 0.00 / 1.00     
84000     45.30     0.6835         0.1              1.00 / 1.00 / 0.00 / 1.00     
85000     46.00     0.683971       0.1              1.00 / 1.00 / 0.00 / 1.00     
86000     42.70     0.681529       0.1              1.00 / 1.00 / 0.00 / 1.00     
87000     45.00     0.683449       0.1              1.00 / 1.00 / 0.00 / 1.00     
88000     43.80     0.681385       0.1              1.00 / 1.00 / 0.00 / 1.00     
89000     44.20     0.682512       0.1              1.00 / 1.00 / 0.00 / 1.00     
90000     43.20     0.679873       0.1              1.00 / 1.00 / 0.00 / 1.00     
91000     44.90     0.68128        0.1              1.00 / 1.00 / 0.00 / 1.00     
92000     44.20     0.680739       0.1              1.00 / 1.00 / 0.00 / 1.00     
93000     43.90     0.681241       0.1              1.00 / 1.00 / 0.00 / 1.00     
94000     43.40     0.68119        0.1              1.00 / 1.00 / 0.00 / 1.00     
95000     45.70     0.681826       0.1              1.00 / 1.00 / 0.00 / 1.00     
96000     43.60     0.680091       0.1              1.00 / 1.00 / 0.00 / 1.00     
97000     43.30     0.681029       0.0999011        1.00 / 1.00 / 0.03 / 2.00     
98000     42.90     0.681581       0.1              1.00 / 1.00 / 0.00 / 1.00     
99000     42.80     0.679425       0.1              1.00 / 1.00 / 0.00 / 1.00     
100000    43.10     0.680551       0.1              1.00 / 1.00 / 0.00 / 1.00     
101000    43.50     0.681034       0.1              1.00 / 1.00 / 0.00 / 1.00     
102000    43.40     0.681261       0.1              1.00 / 1.00 / 0.00 / 1.00     
103000    44.20     0.680966       0.0998023        1.00 / 1.00 / 0.04 / 2.00     
104000    43.90     0.681221       0.1              1.00 / 1.00 / 0.00 / 1.00     
105000    42.50     0.679102       0.1              1.00 / 1.00 / 0.00 / 1.00     
106000    44.00     0.680195       0.0999023        1.00 / 1.00 / 0.03 / 2.00     
107000    43.10     0.679451       0.1              1.00 / 1.00 / 0.00 / 1.00     
108000    44.70     0.682858       0.1              1.00 / 1.00 / 0.00 / 1.00     
109000    43.90     0.680486       0.1              1.00 / 1.00 / 0.00 / 1.00     
110000    43.40     0.679717       0.1              1.00 / 1.00 / 0.00 / 1.00     
111000    42.90     0.67961        0.1              1.00 / 1.00 / 0.00 / 1.00     
