steps     error     softmax loss   
--------------------------------
1000      46.90     0.690343       
2000      48.40     0.691381       
3000      48.90     0.6918         
4000      51.00     0.693151       
5000      48.60     0.692528       
6000      48.00     0.691615       
7000      46.70     0.691635       
8000      45.10     0.691156       
9000      48.40     0.692254       
10000     45.00     0.690738       
11000     44.70     0.691499       
12000     46.30     0.691341       
13000     47.20     0.691348       
14000     45.90     0.691045       
15000     44.40     0.68883        
16000     46.10     0.690625       
17000     45.90     0.690533       
18000     46.60     0.691681       
19000     45.00     0.689041       
20000     45.80     0.691215       
21000     47.00     0.690541       
22000     46.00     0.689975       
23000     46.00     0.690293       
24000     46.00     0.690235       
25000     45.90     0.691199       
26000     46.60     0.689004       
27000     44.70     0.689732       
28000     46.90     0.689764       
29000     47.20     0.689566       
30000     45.70     0.689373       
31000     47.00     0.690389       
32000     45.70     0.689357       
33000     46.00     0.690149       
34000     46.20     0.689433       
35000     46.60     0.689158       
36000     46.10     0.688896       
37000     47.50     0.690072       
38000     47.00     0.690821       
39000     46.40     0.68805        
40000     46.80     0.689118       
41000     46.80     0.689067       
42000     47.00     0.687516       
43000     46.30     0.686936       
44000     46.80     0.687806       
45000     47.10     0.687595       
46000     45.80     0.687029       
47000     45.20     0.685639       
48000     46.40     0.686325       
49000     44.40     0.684636       
50000     44.90     0.684644       
51000     46.60     0.688334       
52000     45.00     0.684288       
53000     47.20     0.686067       
54000     44.00     0.683481       
55000     45.50     0.683981       
56000     45.20     0.686164       
57000     45.90     0.683956       
58000     45.30     0.684562       
59000     44.90     0.682563       
60000     45.20     0.683381       
61000     45.60     0.684785       
62000     44.70     0.683459       
63000     44.90     0.683415       
64000     45.40     0.683744       
65000     45.50     0.684863       
66000     45.00     0.683755       
67000     44.70     0.683029       
68000     45.00     0.68334        
69000     44.90     0.683521       
70000     43.70     0.684046       
71000     44.60     0.684636       
72000     46.40     0.685483       
73000     44.90     0.685891       
74000     45.60     0.685241       
75000     45.60     0.684421       
76000     44.20     0.683285       
77000     45.20     0.684682       
78000     44.50     0.683059       
79000     45.90     0.684537       
80000     45.10     0.685949       
81000     44.60     0.684621       
82000     44.30     0.685829       
83000     45.60     0.685109       
84000     43.80     0.684282       
85000     45.40     0.685015       
86000     44.80     0.682709       
87000     45.40     0.683977       
88000     44.90     0.683322       
89000     44.60     0.685139       
90000     44.30     0.682768       
91000     46.60     0.687352       
92000     46.80     0.685484       
93000     44.40     0.683922       
94000     44.70     0.684234       
95000     45.70     0.684763       
96000     45.70     0.68342        
97000     45.80     0.683987       
98000     45.40     0.683504       
99000     46.00     0.68435        
100000    45.60     0.684513       
101000    45.90     0.683693       
102000    45.20     0.684754       
103000    47.30     0.686255       
104000    46.30     0.683672       
105000    45.80     0.684894       
106000    46.00     0.684753       
107000    46.10     0.686208       
108000    45.20     0.683001       
109000    45.60     0.683978       
110000    44.50     0.683665       
111000    45.20     0.683319       
112000    45.40     0.685196       
113000    45.80     0.68344        
114000    45.30     0.685347       
115000    45.50     0.684066       
116000    45.50     0.685004       
117000    45.70     0.68469        
118000    43.80     0.684071       
119000    46.00     0.685087       
120000    46.50     0.685233       
121000    46.30     0.685848       
122000    48.00     0.687724       
123000    45.70     0.68569        
124000    44.70     0.684477       
125000    45.90     0.685892       
126000    46.70     0.685819       
127000    45.50     0.686149       
128000    45.90     0.685016       
129000    46.40     0.683936       
130000    44.30     0.684387       
131000    47.00     0.686115       
132000    45.50     0.685471       
133000    44.40     0.686729       
134000    45.70     0.684646       
135000    44.90     0.68353        
136000    46.20     0.684424       
