steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      70.00     0.650068       0.0158939        1.00 / 1.48 / 0.50 / 2.00     
2000      68.50     0.642518       0.0250592        1.00 / 1.18 / 0.38 / 2.00     
3000      68.50     0.630392       0.0270069        1.00 / 1.11 / 0.32 / 2.00     
4000      64.30     0.611412       0.029916         1.00 / 1.01 / 0.12 / 2.00     
5000      61.40     0.595102       0.0293433        1.00 / 1.03 / 0.18 / 2.00     
6000      61.20     0.579442       0.0294021        1.00 / 1.03 / 0.18 / 2.00     
7000      61.50     0.564367       0.0291257        1.00 / 1.04 / 0.20 / 2.00     
8000      59.20     0.549819       0.0300537        1.00 / 1.01 / 0.10 / 2.00     
9000      57.70     0.534298       0.0299059        1.00 / 1.02 / 0.12 / 2.00     
10000     57.40     0.525149       0.0301628        1.00 / 1.01 / 0.08 / 2.00     
11000     56.40     0.515143       0.0301133        1.00 / 1.01 / 0.09 / 2.00     
12000     57.00     0.51093        0.0296035        1.00 / 1.03 / 0.16 / 2.00     
13000     56.60     0.496195       0.0286425        1.00 / 1.08 / 0.53 / 10.00    
14000     53.10     0.483274       0.0284472        1.00 / 1.08 / 0.39 / 8.00     
15000     51.30     0.473418       0.0289311        1.00 / 1.06 / 0.26 / 3.00     
16000     49.70     0.460597       0.0282076        1.00 / 1.09 / 0.34 / 4.00     
17000     49.30     0.449773       0.0274998        1.00 / 1.13 / 0.40 / 4.00     
18000     48.40     0.43781        0.0272427        1.00 / 1.14 / 0.40 / 3.00     
19000     46.50     0.431372       0.0269821        1.00 / 1.16 / 0.42 / 4.00     
20000     45.20     0.424969       0.0278198        1.00 / 1.13 / 0.42 / 10.00    
21000     44.10     0.415615       0.0273803        1.00 / 1.15 / 0.43 / 4.00     
22000     44.60     0.413912       0.0271722        1.00 / 1.17 / 0.55 / 10.00    
23000     42.40     0.401828       0.0276232        1.00 / 1.14 / 0.42 / 4.00     
24000     42.10     0.394124       0.027591         1.00 / 1.15 / 0.42 / 4.00     
25000     41.70     0.388771       0.0273882        1.00 / 1.18 / 0.61 / 10.00    
26000     42.30     0.38296        0.0267994        1.00 / 1.20 / 0.51 / 5.00     
27000     40.40     0.37105        0.0271541        1.00 / 1.19 / 0.50 / 10.00    
28000     41.10     0.368027       0.0274831        1.00 / 1.17 / 0.50 / 6.00     
29000     39.20     0.36036        0.0275911        1.00 / 1.17 / 0.46 / 6.00     
30000     38.40     0.35252        0.0277243        1.00 / 1.16 / 0.45 / 4.00     
31000     38.30     0.351086       0.0274429        1.00 / 1.18 / 0.46 / 5.00     
32000     38.70     0.346626       0.0276837        1.00 / 1.17 / 0.46 / 4.00     
33000     37.80     0.340792       0.027416         1.00 / 1.20 / 0.52 / 10.00    
34000     37.80     0.34037        0.0276237        1.00 / 1.18 / 0.48 / 6.00     
35000     36.60     0.339033       0.0279355        1.00 / 1.17 / 0.46 / 6.00     
36000     37.20     0.334507       0.0279477        1.00 / 1.17 / 0.46 / 7.00     
37000     37.00     0.334017       0.0276263        1.00 / 1.19 / 0.51 / 6.00     
38000     37.00     0.326629       0.0274878        1.00 / 1.20 / 0.54 / 6.00     
39000     37.20     0.329345       0.0278303        1.00 / 1.19 / 0.52 / 10.00    
40000     36.90     0.324316       0.0275           1.00 / 1.21 / 0.54 / 7.00     
41000     36.20     0.321875       0.0274964        1.00 / 1.21 / 0.56 / 6.00     
42000     34.60     0.316622       0.0273585        1.00 / 1.22 / 0.58 / 10.00    
43000     35.10     0.317727       0.027855         1.00 / 1.19 / 0.54 / 10.00    
44000     34.20     0.313047       0.027295         1.00 / 1.23 / 0.62 / 10.00    
45000     34.10     0.311505       0.0278503        1.00 / 1.20 / 0.58 / 10.00    
46000     34.00     0.305556       0.0276446        1.00 / 1.21 / 0.58 / 10.00    
47000     34.00     0.307246       0.0275703        1.00 / 1.23 / 0.63 / 10.00    
48000     33.70     0.309385       0.0273691        1.00 / 1.24 / 0.62 / 10.00    
49000     34.70     0.306084       0.0276135        1.00 / 1.22 / 0.60 / 10.00    
