steps     error     softmax loss   
--------------------------------
1000      70.10     0.65042        
2000      68.00     0.637537       
3000      65.40     0.622532       
4000      63.90     0.605715       
5000      62.90     0.588879       
6000      61.90     0.569887       
7000      60.30     0.559433       
8000      57.80     0.536084       
9000      58.10     0.524603       
10000     57.50     0.513696       
11000     55.90     0.506546       
12000     54.30     0.491392       
13000     52.60     0.479806       
14000     51.70     0.466928       
15000     50.50     0.459726       
16000     50.10     0.459743       
17000     49.10     0.443139       
18000     47.90     0.435502       
19000     48.00     0.42961        
20000     45.80     0.416278       
21000     45.40     0.412085       
22000     44.40     0.406609       
23000     43.80     0.401001       
24000     43.60     0.394685       
25000     41.80     0.387185       
26000     42.00     0.381319       
27000     40.80     0.375741       
28000     39.10     0.367227       
29000     38.80     0.365924       
30000     39.50     0.361183       
31000     38.60     0.363853       
32000     40.50     0.356109       
33000     37.20     0.351705       
34000     38.60     0.348908       
35000     37.40     0.347955       
36000     37.00     0.34263        
37000     36.90     0.335897       
38000     35.90     0.332903       
39000     37.20     0.332395       
40000     36.70     0.334729       
41000     36.30     0.328669       
42000     36.10     0.324115       
43000     34.90     0.322797       
44000     35.30     0.318428       
45000     33.80     0.317084       
46000     33.80     0.310311       
47000     32.70     0.306506       
48000     33.50     0.30868        
49000     33.30     0.311659       
50000     32.80     0.30757        
51000     33.50     0.30725        
52000     33.60     0.310269       
53000     32.60     0.302143       
54000     31.70     0.300021       
55000     31.70     0.29564        
56000     32.60     0.296517       
57000     31.00     0.296551       
58000     31.20     0.292274       
59000     31.00     0.291355       
60000     31.10     0.288705       
61000     32.50     0.290253       
62000     30.10     0.283623       
63000     31.20     0.286319       
64000     31.90     0.287841       
65000     31.40     0.28446        
66000     31.90     0.284892       
67000     30.90     0.279819       
68000     31.30     0.276136       
69000     31.30     0.282988       
70000     31.50     0.279535       
71000     31.40     0.281687       
72000     31.30     0.278487       
73000     30.10     0.275293       
74000     30.90     0.269582       
75000     30.40     0.273253       
76000     30.10     0.273684       
77000     29.90     0.271749       
78000     29.30     0.268438       
79000     29.00     0.265311       
80000     28.90     0.2656         
81000     29.90     0.265099       
82000     29.80     0.263501       
83000     29.20     0.26879        
84000     28.50     0.260342       
85000     29.80     0.26253        
86000     29.40     0.257432       
87000     28.60     0.261217       
88000     29.30     0.259625       
89000     29.10     0.258491       
90000     28.90     0.255901       
91000     28.80     0.25579        
92000     27.80     0.249225       
93000     29.00     0.247518       
94000     28.80     0.249951       
95000     28.70     0.250427       
96000     29.10     0.246956       
97000     27.90     0.245733       
98000     28.60     0.245427       
99000     27.90     0.247515       
