steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      100.00    8.56532        0.0154595        1.00 / 5.81 / 3.55 / 10.00    
2000      98.80     7.39255        0.0201471        1.00 / 6.82 / 3.74 / 10.00    
3000      98.60     6.72806        0.0227733        1.00 / 7.20 / 3.64 / 10.00    
4000      98.10     6.34182        0.0245013        1.00 / 7.50 / 3.50 / 10.00    
5000      96.40     5.82562        0.0253151        1.00 / 7.37 / 3.61 / 10.00    
6000      93.50     5.44282        0.0258478        1.00 / 7.40 / 3.59 / 10.00    
7000      93.30     5.10285        0.0261635        1.00 / 7.47 / 3.52 / 10.00    
8000      91.90     4.89797        0.0264425        1.00 / 7.49 / 3.49 / 10.00    
9000      90.00     4.6554         0.0263843        1.00 / 7.54 / 3.46 / 10.00    
10000     89.90     4.5098         0.0264609        1.00 / 7.55 / 3.44 / 10.00    
11000     89.00     4.41979        0.0266762        1.00 / 7.57 / 3.41 / 10.00    
12000     88.40     4.20783        0.0265506        1.00 / 7.64 / 3.35 / 10.00    
13000     85.40     3.95089        0.0268718        1.00 / 7.62 / 3.37 / 10.00    
14000     85.60     4.03331        0.0269887        1.00 / 7.62 / 3.36 / 10.00    
15000     84.40     3.70967        0.0266561        1.00 / 7.73 / 3.27 / 10.00    
16000     84.70     3.6945         0.0268664        1.00 / 7.66 / 3.31 / 10.00    
17000     82.40     3.50991        0.0264528        1.00 / 7.73 / 3.25 / 10.00    
18000     81.80     3.4466         0.0270383        1.00 / 7.72 / 3.27 / 10.00    
19000     81.00     3.40687        0.0271055        1.00 / 7.70 / 3.27 / 10.00    
20000     81.00     3.46205        0.0266785        1.00 / 7.73 / 3.24 / 10.00    
21000     78.90     3.48208        0.0268493        1.00 / 7.74 / 3.20 / 10.00    
22000     77.10     3.08249        0.0272127        1.00 / 7.74 / 3.22 / 10.00    
23000     77.20     3.00609        0.0273282        1.00 / 7.79 / 3.18 / 10.00    
24000     76.90     3.02202        0.0266353        1.00 / 7.83 / 3.12 / 10.00    
25000     77.30     3.00525        0.027501         1.00 / 7.81 / 3.13 / 10.00    
26000     74.70     2.84851        0.026803         1.00 / 7.86 / 3.07 / 10.00    
27000     80.60     3.12684        0.0274398        1.00 / 8.07 / 2.87 / 10.00    
28000     72.80     2.74507        0.0281624        1.00 / 7.81 / 3.12 / 10.00    
29000     72.90     2.62267        0.0280344        1.00 / 7.85 / 3.08 / 10.00    
30000     72.30     2.48445        0.0274345        1.00 / 7.87 / 3.02 / 10.00    
31000     70.80     2.49968        0.0275286        1.00 / 7.95 / 2.98 / 10.00    
32000     71.10     2.44474        0.0283865        1.00 / 7.87 / 3.03 / 10.00    
33000     66.70     2.26595        0.0269599        1.00 / 7.99 / 2.97 / 10.00    
34000     65.90     2.16076        0.0272039        1.00 / 7.97 / 2.93 / 10.00    
35000     66.00     2.18732        0.0275325        1.00 / 7.97 / 2.91 / 10.00    
36000     65.80     2.14169        0.027902         1.00 / 7.94 / 2.94 / 10.00    
37000     67.70     2.17164        0.0278094        1.00 / 7.92 / 2.97 / 10.00    
38000     70.10     2.47664        0.0274662        1.00 / 7.94 / 2.95 / 10.00    
39000     67.40     2.40808        0.0273253        1.00 / 8.29 / 2.61 / 10.00    
40000     62.70     1.92171        0.0278139        1.00 / 8.29 / 2.60 / 10.00    
41000     61.40     1.8877         0.0270317        1.00 / 8.21 / 2.68 / 10.00    
42000     60.50     1.8806         0.026971         1.00 / 8.12 / 2.76 / 10.00    
43000     59.80     1.8096         0.0266068        1.00 / 8.22 / 2.64 / 10.00    
44000     61.20     1.86101        0.0265259        1.00 / 8.24 / 2.68 / 10.00    
45000     63.20     2.06298        0.0285454        1.00 / 7.99 / 2.94 / 10.00    
46000     62.20     1.77291        0.0274086        1.00 / 8.04 / 2.87 / 10.00    
47000     62.20     1.99382        0.0285015        1.00 / 7.94 / 2.98 / 10.00    
48000     60.80     1.89206        0.027565         1.00 / 8.14 / 2.79 / 10.00    
49000     61.90     1.914          0.0268598        1.00 / 8.14 / 2.78 / 10.00    
50000     60.50     1.87367        0.0272267        1.00 / 8.12 / 2.82 / 10.00    
51000     59.10     1.74917        0.0284805        1.00 / 8.02 / 2.88 / 10.00    
52000     59.20     1.74243        0.0286399        1.00 / 7.98 / 2.94 / 10.00    
53000     57.70     1.74836        0.0278761        1.00 / 8.11 / 2.79 / 10.00    
54000     58.10     1.65164        0.0292113        1.00 / 7.91 / 2.96 / 10.00    
55000     58.00     1.70794        0.0285216        1.00 / 7.98 / 2.91 / 10.00    
56000     59.10     1.77665        0.0283242        1.00 / 8.04 / 2.87 / 10.00    
57000     56.60     1.67053        0.028926         1.00 / 7.91 / 2.95 / 10.00    
58000     57.70     1.6654         0.0291247        1.00 / 7.92 / 2.95 / 10.00    
59000     56.50     1.60537        0.0278794        1.00 / 8.08 / 2.69 / 10.00    
60000     56.50     1.6016         0.0277742        1.00 / 8.11 / 2.67 / 10.00    
61000     55.60     1.53163        0.0275018        1.00 / 8.14 / 2.65 / 10.00    
62000     57.80     1.74308        0.0278175        1.00 / 8.08 / 2.72 / 10.00    
63000     57.00     1.618          0.0274861        1.00 / 8.11 / 2.70 / 10.00    
64000     58.80     1.81355        0.0289554        1.00 / 7.95 / 2.85 / 10.00    
65000     59.30     1.75891        0.0289069        1.00 / 7.97 / 2.85 / 10.00    
66000     53.70     1.46442        0.028897         1.00 / 7.97 / 2.87 / 10.00    
67000     54.90     1.51361        0.0298025        1.00 / 7.92 / 2.93 / 10.00    
68000     54.60     1.51573        0.0304112        1.00 / 7.91 / 2.93 / 10.00    
69000     55.10     1.51402        0.0295658        1.00 / 7.89 / 2.97 / 10.00    
70000     54.70     1.44944        0.0301025        1.00 / 7.89 / 2.95 / 10.00    
71000     54.70     1.49918        0.0309717        1.00 / 7.82 / 3.03 / 10.00    
72000     52.70     1.46471        0.0299251        1.00 / 7.87 / 2.99 / 10.00    
73000     52.10     1.46877        0.0313556        1.00 / 7.85 / 3.04 / 10.00    
74000     52.40     1.49336        0.0305703        1.00 / 7.90 / 2.94 / 10.00    
75000     52.20     1.39076        0.0295632        1.00 / 8.05 / 2.83 / 10.00    
76000     51.40     1.37096        0.0302135        1.00 / 8.01 / 2.83 / 10.00    
