steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      47.20     0.690207       1.53351e-05      2.00 / 2.00 / 0.00 / 2.00     
2000      46.60     0.691103       1.88553e-05      2.00 / 2.20 / 0.40 / 3.00     
3000      47.80     0.691938       2.05053e-05      2.00 / 2.27 / 0.44 / 3.00     
4000      47.20     0.693535       2.90866e-05      2.00 / 2.36 / 0.51 / 4.00     
5000      47.90     0.692785       3.72383e-05      2.00 / 2.35 / 0.48 / 3.00     
6000      46.50     0.695226       4.26565e-05      2.00 / 2.29 / 0.45 / 3.00     
7000      46.30     0.686187       5.08282e-05      2.00 / 2.30 / 0.46 / 4.00     
8000      46.20     0.686973       5.00797e-05      2.00 / 2.29 / 0.46 / 4.00     
9000      45.00     0.684484       5.81593e-05      2.00 / 2.29 / 0.46 / 4.00     
10000     43.50     0.673878       5.93483e-05      2.00 / 2.34 / 0.48 / 4.00     
11000     46.60     0.678735       6.11236e-05      2.00 / 2.38 / 0.50 / 4.00     
12000     43.10     0.667805       5.78732e-05      2.00 / 2.42 / 0.50 / 4.00     
13000     43.70     0.667685       5.58469e-05      1.00 / 2.44 / 0.51 / 4.00     
14000     42.80     0.663993       5.288e-05        1.00 / 2.50 / 0.58 / 4.00     
15000     44.20     0.660739       5.28678e-05      1.00 / 2.54 / 0.57 / 4.00     
16000     45.30     0.657187       5.587e-05        1.00 / 2.50 / 0.56 / 4.00     
17000     43.40     0.644575       5.51234e-05      1.00 / 2.53 / 0.59 / 4.00     
18000     43.70     0.634518       5.71855e-05      1.00 / 2.54 / 0.61 / 4.00     
19000     40.80     0.622908       5.87643e-05      1.00 / 2.53 / 0.67 / 4.00     
20000     42.20     0.602453       6.01803e-05      1.00 / 2.54 / 0.65 / 4.00     
21000     38.50     0.586701       6.21661e-05      1.00 / 2.57 / 0.62 / 4.00     
22000     34.90     0.552722       6.4148e-05       1.00 / 2.58 / 0.63 / 4.00     
23000     30.70     0.508224       6.56999e-05      1.00 / 2.63 / 0.60 / 4.00     
24000     25.90     0.449816       6.89568e-05      1.00 / 2.69 / 0.51 / 3.00     
25000     20.20     0.366534       7.67898e-05      1.00 / 2.73 / 0.46 / 4.00     
26000     13.70     0.261236       8.14096e-05      1.00 / 2.73 / 0.45 / 4.00     
27000     13.00     0.2285         8.16843e-05      1.00 / 2.74 / 0.45 / 4.00     
28000     12.40     0.20802        8.35909e-05      2.00 / 2.73 / 0.44 / 3.00     
29000     11.20     0.184567       8.4848e-05       2.00 / 2.73 / 0.45 / 3.00     
30000     10.90     0.175067       8.73732e-05      2.00 / 2.70 / 0.46 / 3.00     
31000     9.50      0.158864       9.14612e-05      2.00 / 2.68 / 0.47 / 3.00     
32000     8.40      0.150033       8.89368e-05      2.00 / 2.70 / 0.46 / 3.00     
33000     7.60      0.140564       8.72265e-05      2.00 / 2.73 / 0.44 / 3.00     
34000     6.30      0.121518       8.8129e-05       2.00 / 2.73 / 0.48 / 4.00     
35000     6.30      0.115968       8.58521e-05      2.00 / 2.77 / 0.47 / 4.00     
36000     5.30      0.104901       8.76905e-05      2.00 / 2.75 / 0.44 / 4.00     
37000     5.30      0.103335       8.75185e-05      2.00 / 2.75 / 0.46 / 4.00     
38000     3.60      0.0824763      8.92781e-05      2.00 / 2.74 / 0.48 / 4.00     
39000     3.80      0.0747288      8.83169e-05      2.00 / 2.76 / 0.51 / 4.00     
40000     2.90      0.0698096      8.50911e-05      2.00 / 2.81 / 0.54 / 4.00     
41000     2.90      0.0632742      8.43524e-05      2.00 / 2.85 / 0.56 / 4.00     
42000     3.80      0.127345       8.50733e-05      2.00 / 2.82 / 0.51 / 4.00     
43000     2.60      0.0541221      8.46378e-05      2.00 / 2.84 / 0.55 / 4.00     
44000     2.20      0.0493744      8.74826e-05      2.00 / 2.84 / 0.60 / 4.00     
45000     1.60      0.0424252      8.58478e-05      2.00 / 2.84 / 0.57 / 4.00     
46000     1.10      0.0364062      8.65945e-05      2.00 / 2.80 / 0.54 / 4.00     
47000     1.20      0.0313391      8.51175e-05      2.00 / 2.83 / 0.56 / 4.00     
48000     0.50      0.0238914      8.60928e-05      2.00 / 2.82 / 0.56 / 4.00     
49000     0.40      0.0181668      8.56073e-05      2.00 / 2.85 / 0.58 / 4.00     
50000     0.30      0.0136738      8.57517e-05      2.00 / 2.84 / 0.57 / 4.00     
51000     0.30      0.0123767      8.47638e-05      2.00 / 2.90 / 0.63 / 4.00     
52000     0.20      0.0101782      8.42228e-05      2.00 / 2.90 / 0.62 / 4.00     
53000     0.20      0.0100122      8.50523e-05      2.00 / 2.89 / 0.64 / 4.00     
54000     0.30      0.0113393      8.40183e-05      2.00 / 2.90 / 0.64 / 4.00     
