steps     error     softmax loss   
--------------------------------
1000      47.50     0.691556       
2000      47.60     0.691843       
3000      49.20     0.692581       
4000      48.50     0.692322       
5000      47.70     0.692154       
6000      48.50     0.690831       
7000      46.40     0.691259       
8000      49.10     0.693538       
9000      44.70     0.689952       
10000     49.00     0.692941       
11000     46.60     0.690849       
12000     46.90     0.691694       
13000     45.20     0.691376       
14000     45.90     0.691254       
15000     47.40     0.690722       
16000     45.10     0.690436       
17000     45.40     0.691119       
18000     47.10     0.690855       
19000     44.60     0.69079        
20000     46.70     0.68943        
21000     46.70     0.690803       
22000     44.40     0.688984       
23000     47.20     0.691033       
24000     46.40     0.689895       
25000     45.00     0.688807       
26000     44.60     0.689205       
27000     44.90     0.686822       
28000     46.10     0.690104       
29000     45.80     0.68997        
30000     44.00     0.687983       
31000     46.30     0.689351       
32000     45.80     0.689314       
33000     45.80     0.688649       
34000     44.40     0.689517       
35000     46.70     0.689832       
36000     47.60     0.689442       
37000     47.90     0.690775       
38000     47.90     0.691343       
39000     46.20     0.688551       
40000     45.90     0.689058       
41000     47.80     0.690083       
42000     49.50     0.692112       
43000     47.70     0.69057        
44000     48.10     0.69086        
45000     47.80     0.690745       
46000     47.70     0.689856       
47000     47.50     0.690586       
48000     46.60     0.689204       
49000     47.50     0.689123       
50000     45.90     0.687027       
51000     47.20     0.689041       
52000     44.90     0.688876       
53000     46.90     0.690571       
54000     46.90     0.689439       
55000     44.40     0.686613       
56000     49.60     0.692054       
57000     46.90     0.689453       
58000     46.50     0.689604       
59000     45.80     0.688325       
60000     45.70     0.687108       
61000     46.90     0.688004       
62000     46.30     0.68935        
63000     47.70     0.689791       
64000     45.80     0.687252       
65000     48.10     0.688595       
66000     45.50     0.687154       
67000     45.00     0.688957       
68000     44.20     0.687625       
69000     48.40     0.688977       
70000     45.70     0.688161       
71000     47.20     0.689258       
72000     46.60     0.68867        
73000     45.80     0.687587       
74000     46.00     0.687341       
75000     47.60     0.689893       
76000     45.30     0.687475       
77000     45.20     0.687694       
78000     44.50     0.686901       
79000     47.30     0.689278       
80000     45.70     0.688081       
81000     46.40     0.68781        
82000     46.40     0.688382       
83000     43.60     0.687068       
84000     47.90     0.690721       
85000     44.70     0.68779        
86000     44.80     0.686953       
87000     44.80     0.68688        
88000     46.50     0.687886       
89000     45.50     0.688287       
90000     44.90     0.686088       
91000     46.90     0.688947       
92000     45.10     0.686518       
93000     47.10     0.688266       
94000     45.40     0.68818        
95000     45.90     0.68797        
96000     46.10     0.686888       
97000     46.50     0.686702       
98000     44.80     0.687862       
99000     46.00     0.686709       
100000    43.40     0.68595        
101000    46.60     0.687558       
102000    45.60     0.688295       
103000    43.60     0.685105       
104000    46.50     0.686324       
105000    45.10     0.687013       
106000    44.40     0.68531        
107000    44.20     0.685926       
108000    45.80     0.686438       
109000    46.60     0.688399       
110000    46.90     0.687255       
111000    45.50     0.688705       
112000    45.70     0.686287       
113000    44.60     0.687644       
114000    44.30     0.685536       
115000    45.30     0.687967       
116000    43.60     0.685766       
117000    44.10     0.685673       
118000    44.70     0.687127       
119000    45.90     0.684964       
120000    43.50     0.684809       
121000    46.40     0.686513       
122000    46.00     0.68669        
123000    43.70     0.684278       
124000    46.50     0.685931       
125000    44.70     0.686285       
126000    44.80     0.686872       
127000    46.30     0.687941       
128000    47.90     0.688234       
129000    45.20     0.685129       
130000    46.00     0.686911       
131000    45.40     0.686132       
132000    45.90     0.687694       
133000    45.60     0.687631       
134000    45.30     0.686256       
135000    45.00     0.686698       
136000    44.50     0.685386       
137000    45.50     0.684673       
138000    45.90     0.68637        
139000    47.10     0.688216       
140000    45.30     0.685705       
141000    45.90     0.686826       
142000    46.30     0.686134       
143000    46.00     0.686693       
144000    43.90     0.685421       
145000    45.40     0.684983       
146000    45.80     0.685856       
147000    44.20     0.68536        
148000    45.20     0.68529        
149000    44.90     0.68553        
150000    44.80     0.684923       
151000    45.60     0.686962       
152000    46.80     0.68583        
153000    45.40     0.686218       
154000    45.50     0.685829       
155000    46.00     0.685307       
156000    47.20     0.686238       
157000    45.50     0.684821       
158000    45.80     0.686948       
159000    45.50     0.686302       
160000    45.10     0.685653       
161000    44.40     0.684784       
162000    46.60     0.685239       
163000    46.10     0.684631       
164000    45.80     0.686488       
165000    45.60     0.684913       
166000    45.60     0.686657       
167000    45.40     0.6839         
168000    44.50     0.684276       
169000    45.00     0.685612       
170000    44.10     0.683993       
171000    44.90     0.685477       
172000    45.10     0.685095       
173000    45.20     0.68553        
174000    44.90     0.684732       
175000    44.70     0.685034       
176000    44.40     0.685002       
177000    45.20     0.685921       
178000    44.30     0.684279       
179000    46.60     0.687255       
180000    46.80     0.688708       
181000    45.90     0.686029       
182000    44.40     0.684303       
183000    45.40     0.683122       
184000    45.60     0.68418        
185000    44.90     0.684235       
186000    45.60     0.685944       
187000    45.60     0.685359       
188000    45.40     0.683412       
189000    44.90     0.685581       
190000    44.80     0.687096       
191000    45.80     0.686116       
192000    45.30     0.68583        
193000    44.00     0.684601       
194000    44.40     0.684296       
195000    43.90     0.684082       
196000    43.60     0.683225       
197000    44.80     0.682572       
198000    43.90     0.68325        
199000    44.70     0.685258       
200000    44.80     0.684782       
201000    43.90     0.684227       
202000    44.00     0.681541       
203000    44.10     0.683257       
204000    44.20     0.682758       
205000    45.80     0.68548        
206000    44.90     0.684292       
207000    44.80     0.684287       
208000    46.00     0.68558        
209000    43.60     0.683          
210000    44.80     0.683979       
211000    44.90     0.684201       
212000    44.60     0.6846         
213000    44.30     0.684113       
214000    44.50     0.683085       
215000    44.20     0.682047       
216000    44.70     0.684454       
217000    46.80     0.689481       
218000    44.20     0.684443       
219000    43.20     0.683408       
220000    45.60     0.683836       
221000    44.30     0.685933       
222000    44.20     0.684249       
223000    46.00     0.685094       
224000    45.20     0.684698       
225000    44.60     0.68531        
226000    43.90     0.683841       
227000    43.90     0.68384        
228000    45.10     0.682686       
229000    44.90     0.684116       
230000    44.00     0.684897       
231000    44.10     0.684441       
232000    43.30     0.684914       
233000    44.10     0.682471       
234000    43.30     0.682957       
235000    44.10     0.683512       
236000    44.00     0.681618       
237000    42.60     0.682223       
238000    43.40     0.682356       
239000    44.00     0.682185       
240000    44.00     0.682178       
241000    43.10     0.681774       
242000    44.40     0.682395       
243000    45.50     0.684051       
244000    43.90     0.683223       
245000    42.90     0.68149        
246000    42.90     0.681058       
247000    45.30     0.684353       
248000    43.90     0.682693       
249000    43.60     0.680816       
250000    45.80     0.686548       
