steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      48.90     0.691918       1.64107e-05      2.00 / 2.00 / 0.00 / 2.00     
2000      48.60     0.693242       2.01726e-05      2.00 / 2.00 / 0.04 / 3.00     
3000      47.30     0.69037        2.18536e-05      2.00 / 2.00 / 0.00 / 2.00     
4000      47.10     0.69004        3.37424e-05      2.00 / 2.00 / 0.00 / 2.00     
5000      47.10     0.689246       3.90323e-05      2.00 / 2.00 / 0.00 / 2.00     
6000      45.70     0.689406       6.54768e-05      2.00 / 2.00 / 0.07 / 3.00     
7000      44.60     0.684459       5.52532e-05      2.00 / 2.45 / 0.56 / 5.00     
8000      47.30     0.685603       5.63212e-05      2.00 / 2.30 / 0.46 / 3.00     
9000      47.70     0.685384       5.12412e-05      2.00 / 2.47 / 0.56 / 4.00     
10000     46.70     0.680024       4.2057e-05       1.00 / 2.74 / 0.86 / 6.00     
11000     47.20     0.682426       4.23079e-05      1.00 / 2.73 / 0.87 / 5.00     
12000     45.60     0.677969       3.60124e-05      1.00 / 2.91 / 1.13 / 5.00     
13000     44.20     0.67359        3.88442e-05      1.00 / 3.50 / 2.06 / 10.00    
14000     47.90     0.675296       4.18315e-05      1.00 / 3.45 / 1.87 / 7.00     
15000     47.80     0.658805       4.38522e-05      1.00 / 3.32 / 1.84 / 7.00     
16000     44.90     0.646816       4.74445e-05      1.00 / 3.37 / 1.93 / 8.00     
17000     45.20     0.628213       4.66706e-05      1.00 / 3.72 / 2.32 / 9.00     
18000     40.30     0.598727       4.62068e-05      1.00 / 4.22 / 2.86 / 10.00    
19000     38.70     0.578747       4.64062e-05      1.00 / 4.20 / 2.82 / 10.00    
20000     35.70     0.546327       5.0547e-05       1.00 / 4.19 / 2.94 / 10.00    
21000     30.90     0.489541       5.18456e-05      1.00 / 4.10 / 2.94 / 10.00    
22000     25.70     0.407983       5.39552e-05      1.00 / 4.08 / 2.98 / 10.00    
23000     22.30     0.348543       5.41056e-05      1.00 / 4.13 / 3.02 / 10.00    
24000     19.90     0.310894       5.37935e-05      1.00 / 4.18 / 2.99 / 10.00    
25000     19.40     0.294679       5.00662e-05      1.00 / 4.28 / 2.96 / 10.00    
26000     19.20     0.282026       4.90281e-05      1.00 / 4.31 / 2.93 / 10.00    
27000     17.70     0.264864       4.96404e-05      1.00 / 4.32 / 2.90 / 10.00    
28000     17.90     0.258128       4.86552e-05      1.00 / 4.38 / 2.91 / 10.00    
29000     18.40     0.264458       5.16973e-05      1.00 / 4.31 / 2.86 / 10.00    
30000     16.30     0.249119       5.46879e-05      1.00 / 4.29 / 2.84 / 10.00    
31000     16.90     0.252841       5.46879e-05      1.00 / 4.29 / 2.81 / 10.00    
32000     18.80     0.305067       5.56258e-05      1.00 / 4.29 / 2.80 / 10.00    
33000     14.70     0.238435       5.06919e-05      1.00 / 4.41 / 2.93 / 10.00    
34000     18.10     0.251318       5.80966e-05      1.00 / 4.29 / 2.81 / 10.00    
35000     16.50     0.244685       5.29663e-05      1.00 / 4.39 / 2.89 / 10.00    
36000     16.10     0.235059       5.78976e-05      1.00 / 4.32 / 2.81 / 10.00    
37000     14.90     0.232742       5.21251e-05      1.00 / 4.44 / 2.87 / 10.00    
38000     15.80     0.250618       5.65535e-05      1.00 / 4.34 / 2.77 / 10.00    
39000     16.30     0.287359       5.429e-05        1.00 / 4.41 / 2.77 / 10.00    
40000     16.90     0.233885       5.48077e-05      1.00 / 4.41 / 2.85 / 10.00    
41000     15.20     0.226906       6.08158e-05      1.00 / 4.31 / 2.78 / 10.00    
42000     13.90     0.227329       5.63433e-05      1.00 / 4.37 / 2.79 / 10.00    
43000     17.40     0.290441       5.63393e-05      1.00 / 4.36 / 2.78 / 10.00    
44000     13.70     0.223361       4.88349e-05      1.00 / 4.51 / 2.89 / 10.00    
45000     14.00     0.222279       5.8461e-05       1.00 / 4.36 / 2.75 / 10.00    
46000     15.40     0.22466        5.81733e-05      1.00 / 4.36 / 2.77 / 10.00    
47000     14.10     0.216642       5.49413e-05      1.00 / 4.41 / 2.83 / 10.00    
48000     13.90     0.220041       5.52444e-05      1.00 / 4.42 / 2.83 / 10.00    
49000     14.50     0.231547       5.82255e-05      1.00 / 4.41 / 2.84 / 10.00    
50000     14.60     0.221108       5.88374e-05      1.00 / 4.40 / 2.78 / 10.00    
51000     12.80     0.230543       5.45769e-05      1.00 / 4.41 / 2.82 / 10.00    
52000     12.90     0.205974       5.48815e-05      1.00 / 4.44 / 2.76 / 10.00    
53000     12.50     0.208455       5.22318e-05      1.00 / 4.48 / 2.81 / 10.00    
54000     12.70     0.211728       5.70595e-05      1.00 / 4.44 / 2.75 / 10.00    
55000     18.10     0.301571       6.12754e-05      1.00 / 4.31 / 2.64 / 10.00    
56000     15.40     0.218513       5.02246e-05      1.00 / 4.50 / 2.82 / 10.00    
57000     14.00     0.20644        5.30839e-05      1.00 / 4.49 / 2.79 / 10.00    
58000     13.80     0.207373       5.1361e-05       1.00 / 4.49 / 2.81 / 10.00    
59000     15.10     0.209096       5.8131e-05       1.00 / 4.42 / 2.72 / 10.00    
60000     15.60     0.21369        5.1356e-05       1.00 / 4.50 / 2.80 / 10.00    
61000     13.30     0.204739       4.96451e-05      1.00 / 4.53 / 2.79 / 10.00    
62000     14.10     0.207631       5.40372e-05      1.00 / 4.46 / 2.75 / 10.00    
63000     13.90     0.206967       5.20896e-05      1.00 / 4.49 / 2.78 / 10.00    
64000     13.30     0.202015       5.12905e-05      1.00 / 4.50 / 2.82 / 10.00    
65000     13.90     0.236607       5.27161e-05      1.00 / 4.50 / 2.83 / 10.00    
